timestamp,gct_ms,swing_time,stride_time,gait_cycle_time,cadence,gct_pct,activity_type,speed_mps,vgrf_average,fsa_deg,stride_len_m,vgrf_impulse_bws,vgrf_active_peak_bw,lr_instantaneous_bwps,vgrf_curve_bn_output_0,vgrf_curve_bn_output_1,vgrf_curve_bn_output_2,vgrf_curve_bn_output_3
1772567547.661714,282.84079,450.212921,744.273865,733.053711,80.615486,38.583912,2,2.533056,1.293921,-3.155572,1.885287,0.365974,2.152701,71.018616,1.988487,1.593557,1.435427,3.587249
1772567548.417244,264.752808,469.547546,755.494141,734.300354,79.418221,36.055111,2,2.517577,1.381611,-3.484046,1.902015,0.365785,2.269045,67.997566,1.988487,1.593557,1.435427,3.587249
1772567549.141607,245.600784,456.285645,724.326904,701.886414,82.835526,34.991531,2,3.254246,1.422278,-4.592797,2.357138,0.349313,2.325219,135.93132,1.988487,1.593557,1.435427,3.587249
1772567549.848517,243.472794,460.907043,706.873169,704.379822,84.880859,34.565556,2,3.408434,1.439268,-3.492564,2.409331,0.350423,2.349103,107.061661,1.988487,1.593557,1.435427,3.587249
1772567550.584101,226.448807,489.151184,735.547058,715.599976,81.571938,31.644608,2,3.268892,1.568089,-4.084557,2.404424,0.355092,2.538179,90.367226,1.988487,1.593557,1.435427,3.587249
1772567551.328411,223.256805,517.276978,744.273865,740.533813,80.615486,30.148092,2,3.273308,1.64376,-2.641898,2.436238,0.366981,2.655818,85.839142,1.988487,1.593557,1.435427,3.587249
1772567552.071475,211.552795,517.760803,743.027161,729.313599,80.750748,29.007111,2,3.401222,1.706699,-2.792953,2.5272,0.361057,2.75737,95.122292,1.988487,1.593557,1.435427,3.587249
1772567552.808305,222.192795,527.06781,736.793762,749.26062,81.433914,29.654942,2,3.440704,1.670369,-2.979991,2.535089,0.371144,2.698341,94.48233,1.988487,1.593557,1.435427,3.587249
1772567553.511474,254.112808,486.421021,703.133118,740.533813,85.332352,34.314816,2,3.250163,1.449466,-3.825993,2.285297,0.368328,2.363557,82.824562,1.988487,1.593557,1.435427,3.587249
1772567554.233344,236.024811,464.61496,721.833496,700.639771,83.121666,33.687038,2,3.087939,1.475664,-6.325007,2.228978,0.348293,2.401094,83.497688,1.988487,1.593557,1.435427,3.587249
1772567554.973915,219.000793,501.585999,740.533813,720.586792,81.022636,30.39201,2,3.379634,1.630918,-3.361741,2.502734,0.357172,2.635511,98.473335,1.988487,1.593557,1.435427,3.587249
1772567555.723212,204.104813,527.702209,749.26062,731.807007,80.078941,27.890524,2,3.653038,1.773279,-2.944742,2.737077,0.361935,2.868458,105.239838,1.988487,1.593557,1.435427,3.587249
1772567556.496209,199.848801,568.112183,772.947754,767.960999,77.624908,26.023302,2,3.860377,1.897382,-4.472951,2.98387,0.37919,3.085578,120.260895,1.988487,1.593557,1.435427,3.587249
1772567557.243012,194.528793,546.005005,746.767273,740.533813,80.346313,26.268726,2,4.014122,1.880063,-2.498297,2.997614,0.365726,3.054493,122.700943,1.988487,1.593557,1.435427,3.587249
1772567557.999789,198.784805,562.942749,756.740784,761.727539,79.287384,26.096577,2,3.975293,1.892177,-2.418437,3.008266,0.376136,3.07621,122.039703,1.988487,1.593557,1.435427,3.587249
1772567558.764047,194.528793,564.705383,764.220947,759.234192,78.51133,25.621712,2,3.909815,1.926437,-5.139296,2.987962,0.374747,3.138301,120.470566,1.988487,1.593557,1.435427,3.587249
1772567559.519577,197.720795,561.513428,755.494141,759.234192,79.418221,26.042137,2,4.000003,1.896042,-2.65519,3.021979,0.374887,3.083163,133.985641,1.988487,1.593557,1.435427,3.587249
1772567560.272615,203.040817,556.193359,753.000732,759.234192,79.681198,26.742844,2,3.867608,1.847506,-1.99035,2.912312,0.375119,2.996747,126.140182,1.988487,1.593557,1.435427,3.587249
1772567561.036884,203.040817,561.180115,764.220947,764.220947,78.51133,26.568338,2,3.838411,1.859354,-2.675751,2.933394,0.377525,3.017657,119.162689,1.988487,1.593557,1.435427,3.587249
1772567561.773714,208.360794,534.666382,736.793762,743.027161,81.433914,28.042149,2,3.854937,1.763927,-3.525316,2.840294,0.367533,2.852626,114.015091,1.988487,1.593557,1.435427,3.587249
1772567562.47813,213.680801,496.932434,704.379822,710.61322,85.181313,30.069918,2,4.14305,1.64792,-2.748121,2.918281,0.352129,2.662426,129.566956,1.988487,1.593557,1.435427,3.587249
