timestamp,gct_ms,swing_time,stride_time,gait_cycle_time,cadence,gct_pct,activity_type,speed_mps,vgrf_average,fsa_deg,stride_len_m,vgrf_impulse_bws,vgrf_active_peak_bw,lr_instantaneous_bwps,vgrf_curve_bn_output_0,vgrf_curve_bn_output_1,vgrf_curve_bn_output_2,vgrf_curve_bn_output_3
1772742941.036339,704.843628,442.157715,1061.291382,1147.001343,56.534897,61.450989,3,1.38641,0.80958,15.943393,1.471385,0.570628,1.211653,29.906693,5.217613,3.302011,0.468735,3.811238
1772742942.177099,693.966248,435.388855,1140.699097,1129.355103,52.599323,61.448013,3,1.212338,0.811356,15.82719,1.382913,0.563054,1.121648,23.802732,5.217613,3.302011,0.468735,3.811238
1772742943.288857,683.088806,417.276184,1111.708984,1100.36499,53.970959,62.078388,3,1.443832,0.813189,18.809607,1.605121,0.55548,1.165388,29.190823,5.217613,3.302011,0.468735,3.811238
1772742944.405669,691.549011,434.024841,1116.750732,1125.573853,53.727299,61.439682,3,1.359235,0.811758,18.910118,1.517926,0.561371,1.117498,22.845129,5.217613,3.302011,0.468735,3.811238
1772742945.585502,634.744873,485.787231,1179.772827,1120.532104,50.85725,56.646736,3,1.277543,0.822093,4.746847,1.50721,0.521819,1.113389,24.150509,5.217613,3.302011,0.468735,3.811238
1772742946.656925,678.254456,438.496277,1071.374878,1116.750732,56.002808,60.734634,3,1.278492,0.814022,13.002055,1.369745,0.552114,1.148881,23.830349,5.217613,3.302011,0.468735,3.811238
1772742947.762393,668.585693,426.737549,1105.406738,1095.323242,54.278664,61.040039,3,1.363129,0.815725,15.066392,1.506812,0.545382,1.151877,27.503792,5.217613,3.302011,0.468735,3.811238
1772742948.848941,678.254456,418.329285,1086.500122,1096.58374,55.223186,61.851585,3,1.471882,0.814022,17.23562,1.5992,0.552114,1.178378,29.34079,5.217613,3.302011,0.468735,3.811238
1772742949.972055,672.211487,444.539246,1123.052979,1116.750732,53.425797,60.193516,3,1.436201,0.81508,17.419115,1.61293,0.547906,1.124315,23.866276,5.217613,3.302011,0.468735,3.811238
1772742951.082551,664.9599,437.925964,1110.448486,1102.885864,54.032223,60.292721,3,1.391695,0.816376,15.411365,1.545406,0.542857,1.165394,28.392839,5.217613,3.302011,0.468735,3.811238
1772742952.157769,686.714661,411.129456,1075.15625,1097.844116,55.805843,62.551201,3,1.381006,0.812571,19.917553,1.484797,0.558005,1.156004,26.294489,5.217613,3.302011,0.468735,3.811238
