timestamp,gct_ms,swing_time,stride_time,gait_cycle_time,cadence,gct_pct,activity_type,speed_mps,vgrf_average,fsa_deg,stride_len_m,vgrf_impulse_bws,vgrf_active_peak_bw,lr_instantaneous_bwps,vgrf_curve_bn_output_0,vgrf_curve_bn_output_1,vgrf_curve_bn_output_2,vgrf_curve_bn_output_3
1773169675.164537,364.768799,289.743469,448.80838,654.512268,133.687347,55.731392,2,0.1,0.909239,4.351272,0.1,0.331662,1.719508,18.77636,2.213288,1.433896,1.317753,3.151966
1773169675.922572,280.712799,378.786224,757.987488,659.499023,79.156982,42.564548,2,0.1,1.176996,3.013736,0.1,0.330398,2.007732,27.752312,2.43832,1.548791,1.258125,3.638479
1773169676.390106,1000.0,836.374268,467.508728,1836.374268,128.339844,54.455132,3,0.408084,0.776139,2.614288,0.190783,0.776139,1.700423,10.0,5.44612,3.89155,0.544544,3.806175
1773169678.421061,120.861679,357.867249,2030.85791,478.728943,29.544165,25.24637,3,0.1,1.357027,2.748965,0.203086,0.164013,0.931852,10.0,5.086998,3.278889,0.450299,3.593608
1773169678.772652,613.37207,251.83075,400.0,865.20282,150.0,70.89344,3,0.13451,0.826477,3.663439,0.1,0.506938,1.914204,10.0,4.998081,2.958273,0.333472,3.704617
1773169679.897214,634.889526,512.065186,1124.514404,1146.954712,53.356365,55.35437,3,1.270496,0.822064,13.749836,1.428691,0.52192,1.041992,10.0,4.113143,3.122248,0.0,3.838434
1773169836.495654,1000.0,603.243286,893.876709,1603.243286,67.123352,62.373566,3,0.662223,0.776139,-6.769946,0.591946,0.776139,1.033044,10.0,4.113143,3.122248,0.0,3.838434
1773169838.125162,795.074951,360.606689,1629.423706,1155.681641,36.822834,68.797058,3,0.679333,0.796722,2.033395,1.106922,0.633454,0.95929,10.0,4.113143,3.122248,0.0,3.838434
1773169839.563916,827.351074,644.989746,1438.680298,1472.34082,41.704887,56.192905,3,1.172917,0.792804,10.696875,1.687453,0.655927,0.96837,10.0,4.113143,3.122248,0.0,3.838434
1773169990.837475,865.60437,504.507935,1133.241089,1370.112305,52.945484,63.17762,3,1.109148,0.788538,12.355253,1.256932,0.682562,1.053053,11.372803,4.113143,3.122248,0.0,3.838434
1773170019.217324,1000.0,592.022949,1699.238403,1592.022949,35.309937,62.813164,3,1.093072,0.776139,8.326924,1.85739,0.776139,0.960572,10.0,4.113143,3.122248,0.0,3.838434
1773170043.398103,679.119812,627.411194,2373.697754,1306.531006,25.277018,51.978851,3,1.270524,0.813872,9.852591,3.015839,0.552717,0.95167,11.842817,4.113143,3.122248,0.0,3.838434
1773170044.578779,713.786804,502.982605,1180.615356,1216.769409,50.820953,58.662457,3,1.211119,0.808161,6.016979,1.429865,0.576854,1.040155,11.302725,4.113143,3.122248,0.0,3.838434
1773170045.808077,661.188599,513.193237,1229.236206,1174.381836,48.810799,56.300991,3,1.208049,0.817061,6.101282,1.484978,0.540231,1.03035,11.574469,4.113143,3.122248,0.0,3.838434
1773170046.900226,873.972229,440.039001,1092.100342,1314.01123,54.940006,66.51178,3,0.96847,0.787655,2.382161,1.057667,0.688388,1.024203,10.0,4.113143,3.122248,0.0,3.838434
1773170048.311552,1000.0,588.282959,1411.253052,1588.282959,42.515408,62.961071,3,0.708026,0.776139,6.660619,0.999204,0.776139,0.96458,10.0,4.113143,3.122248,0.0,3.838434
1773170049.887453,798.661133,521.583496,1575.816162,1320.244629,38.075508,60.493423,3,0.932962,0.796271,11.454373,1.470176,0.635951,0.966554,10.0,4.113143,3.122248,0.0,3.838434
1773170051.169111,760.407898,481.295227,1281.59729,1241.703125,46.816578,61.239105,3,1.031707,0.801301,11.79888,1.322233,0.609316,1.033201,12.785603,4.113143,3.122248,0.0,3.838434
1773170052.422095,755.626282,492.310364,1252.92334,1247.936646,47.888004,60.550053,3,1.038827,0.801966,18.318388,1.301571,0.605986,1.048903,13.028194,4.113143,3.122248,0.0,3.838434
1773170053.661378,750.844666,483.378357,1239.209717,1234.223022,48.417953,60.835415,3,1.038254,0.802639,11.470448,1.286615,0.602657,1.042767,13.339403,4.113143,3.122248,0.0,3.838434
1773170054.926829,773.557495,515.519897,1265.390259,1289.077393,47.416203,60.008614,3,0.94789,0.799516,11.794546,1.199451,0.618472,0.99981,10.0,4.113143,3.122248,0.0,3.838434
1773170056.191033,893.098755,495.713867,1264.143677,1388.812622,47.462959,64.306641,3,0.901683,0.785698,13.142385,1.139857,0.701706,1.006198,10.0,4.113143,3.122248,0.0,3.838434
1773170057.63602,815.396973,548.481812,1444.913574,1363.878784,41.524975,59.785152,3,0.869588,0.794219,11.592458,1.256479,0.647604,0.990273,10.0,4.113143,3.122248,0.0,3.838434
1773170059.044853,915.811646,597.669922,1408.759644,1513.481567,42.590656,60.510262,3,0.932095,0.78348,9.162059,1.313097,0.71752,1.011822,10.17234,4.113143,3.122248,0.0,3.838434
1773170060.521007,979.168579,562.986938,1476.080933,1542.155518,40.648178,63.493504,3,0.862403,0.777838,12.295768,1.272976,0.761635,0.969899,10.0,4.113143,3.122248,0.0,3.838434
1773170062.078207,701.832642,566.051025,1557.115723,1267.883667,38.53278,55.354656,3,0.97791,0.810066,12.030045,1.522718,0.568531,0.986514,10.097811,4.113143,3.122248,0.0,3.838434
1773170063.236443,718.568481,457.060181,1158.175049,1175.628662,51.805641,61.122059,3,1.200942,0.807416,15.936662,1.390901,0.580184,1.082227,16.657372,4.113143,3.122248,0.0,3.838434
1773170064.424599,766.384949,471.578186,1188.095459,1237.963135,50.500992,61.906929,3,1.118038,0.800482,13.520375,1.328336,0.613478,1.04621,12.15624,4.113143,3.122248,0.0,3.838434
1773170065.685063,706.614319,491.454651,1260.403442,1198.06897,47.603806,58.979435,3,0.972904,0.809296,-0.946118,1.226251,0.57186,0.980777,10.0,4.113143,3.122248,0.0,3.838434
1773170066.598936,1000.0,856.321411,913.82373,1856.321411,65.65818,53.86998,3,0.1,0.776139,4.067023,0.1,0.776139,1.155964,11.479977,4.113143,3.122248,0.0,3.838434
1773170068.422928,864.408936,181.563965,1823.907349,1045.9729,32.896408,82.641617,3,0.282862,0.788666,7.15684,0.515915,0.68173,0.967786,16.244829,4.113143,3.122248,0.0,3.838434
1773170071.98241,1000.0,1000.0,1108.307373,2400.0,54.136608,41.666664,3,0.921486,0.776139,2.502873,1.02129,0.776139,1.023689,10.0,4.113143,3.122248,0.0,3.838434
1773170078.32465,1000.0,1000.0,1256.663452,2167.993652,47.74548,46.125595,3,0.87246,0.776139,6.684916,1.096388,0.776139,1.021191,10.0,4.113143,3.122248,0.0,3.838434
1773170080.503974,714.982239,552.901428,2179.214111,1267.883667,27.532862,56.391788,3,0.589413,0.807974,16.181345,1.284457,0.577687,0.951052,10.156132,4.113143,3.122248,0.0,3.838434
1773170081.698363,865.60437,485.807495,1194.328979,1351.411865,50.237415,64.051857,3,0.96424,0.788538,-5.171498,1.15162,0.682562,1.045481,18.483316,4.113143,3.122248,0.0,3.838434
1773170082.926413,639.671143,352.694031,1227.989624,992.365173,48.860348,64.459251,3,0.755762,0.821124,-6.311617,0.928067,0.525249,1.211978,46.051632,4.113143,3.122248,0.0,3.838434
1773170083.986149,811.81073,427.398987,1059.686523,1239.209717,56.620518,65.510353,3,0.619609,0.794651,-6.98311,0.656592,0.645107,1.067831,19.149601,4.113143,3.122248,0.0,3.838434
1773170085.461055,827.351074,663.690063,1474.834229,1491.041138,40.682537,55.488144,3,0.852207,0.792804,11.136943,1.256865,0.655927,1.003447,12.831484,4.113143,3.122248,0.0,3.838434
1773170086.851188,848.86853,563.631226,1390.059204,1412.499756,43.163628,60.096897,3,0.878078,0.790357,13.392403,1.22058,0.670909,0.985295,10.0,4.113143,3.122248,0.0,3.838434
1773170088.250047,754.430847,545.86676,1398.786133,1300.297607,42.894333,58.019859,3,0.991095,0.802133,12.821657,1.386329,0.605154,0.9973,10.0,4.113143,3.122248,0.0,3.838434
