timestamp,gct_ms,swing_time,stride_time,gait_cycle_time,cadence,gct_pct,activity_type,speed_mps,vgrf_average,fsa_deg,stride_len_m,vgrf_impulse_bws,vgrf_active_peak_bw,lr_instantaneous_bwps,vgrf_curve_bn_output_0,vgrf_curve_bn_output_1,vgrf_curve_bn_output_2,vgrf_curve_bn_output_3
1773345427.371503,263.705017,579.530029,1276.826782,843.235046,46.991497,31.273014,3,0.1,0.999115,7.496598,0.127683,0.263472,0.994824,10.0,5.569435,3.324132,0.273433,4.279951
1773345427.975278,1000.0,544.040283,603.751221,1544.040283,99.378677,64.765152,3,0.178803,0.776139,1.106463,0.107952,0.776139,1.29787,10.0,5.20347,3.205194,0.348141,3.89256
1773345429.659312,141.63649,474.719238,1683.949219,616.355713,35.630527,22.979666,3,0.186611,1.260111,3.038681,0.314243,0.178478,0.982719,10.0,5.360832,4.055783,0.278441,4.038416
1773345430.361415,200.885559,569.243958,702.065674,770.129517,85.46209,26.084646,2,0.1,1.893023,4.509223,0.1,0.380281,3.07773,54.733799,1.913302,1.459177,1.973278,3.332042
1773345432.603848,310.840332,571.468445,765.087708,882.308777,78.422379,35.230335,3,0.581221,0.953193,1.113278,0.444685,0.296291,1.486295,42.023132,4.912361,5.390251,0.0,4.625956
1773345433.517716,1000.0,1000.0,913.819763,2091.071533,65.658463,47.822372,3,0.840249,0.776139,0.407866,0.767836,0.776139,2.862616,151.767807,5.266482,6.270741,0.0,4.942556
1773345435.17024,905.471069,189.852173,1652.438232,1095.323242,36.309982,82.667015,3,0.409351,0.784476,3.891378,0.676427,0.71032,1.004137,21.786648,4.246329,5.83393,0.0,3.72076
1773345498.337886,542.891357,386.053711,1401.610352,928.945068,42.807903,58.441704,3,0.198199,0.843379,7.788882,0.277797,0.457863,0.998004,10.0,5.357179,4.145947,0.041278,4.5169
1773345499.32234,1000.0,574.290894,984.404419,1574.290894,60.950558,63.520664,3,0.624206,0.776139,3.419605,0.614471,0.776139,1.105817,10.697329,5.18573,4.873342,0.443026,3.476291
1773345500.74671,592.44397,293.646118,1424.29834,886.090088,42.126007,66.860466,3,0.593867,0.831076,8.449956,0.845843,0.492366,0.956169,10.0,5.103291,3.188169,0.128046,3.995397
1773345501.678225,698.800598,343.584167,931.465942,1042.384766,64.414597,67.038643,3,0.1,0.81056,3.019208,0.1,0.56642,1.065598,10.0,5.103291,3.188169,0.128046,3.995397
1773345502.681585,149.250229,280.560181,1003.311035,429.810394,59.801994,34.724667,2,0.1,1.432873,2.1664,0.100331,0.213857,2.340085,37.909546,1.972999,1.544936,1.637748,3.424872
1773345503.173181,1000.0,607.062378,491.571991,1607.062378,122.057404,62.225334,3,0.315838,0.776139,6.471227,0.155257,0.776139,1.530889,10.0,5.103291,3.188169,0.128046,3.995397
1773345505.084106,756.813416,672.526672,1910.828613,1429.340088,31.39999,52.948452,3,1.632591,0.8018,18.051805,3.119602,0.606813,0.938632,10.0,5.103291,3.188169,0.128046,3.995397
