timestamp,gct_ms,swing_time,stride_time,gait_cycle_time,cadence,gct_pct,activity_type,speed_mps,vgrf_average,fsa_deg,stride_len_m,vgrf_impulse_bws,vgrf_active_peak_bw,lr_instantaneous_bwps,vgrf_curve_bn_output_0,vgrf_curve_bn_output_1,vgrf_curve_bn_output_2,vgrf_curve_bn_output_3
1771971444.1473618,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2.3473485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1771971444.622548,119.129608,255.870392,475.186279,375.0,126.266273,31.767897,2,7.056927,1.562173,-6.179686,3.353355,0.186101,2.529187,484.718353,1.988487,1.593557,1.435427,3.587249
1771971445.044821,118.673111,307.355957,422.247742,426.029053,142.09668,27.855639,3,8.498812,1.369213,-0.633534,3.588604,0.162489,3.545268,329.085144,5.217613,3.302011,0.468735,3.811238
1771971445.497343,115.902405,329.033295,452.498352,444.935699,132.597168,26.049248,2,9.437555,1.895536,-3.120329,4.270478,0.219697,3.082253,456.324921,1.988487,1.593557,1.435427,3.587249
1771971445.996502,113.750931,382.862854,499.134644,496.61377,120.208046,22.905312,2,9.540767,2.149721,-3.769524,4.762127,0.244533,3.567401,500.0,1.988487,1.593557,1.435427,3.587249
1771971446.491879,113.750931,381.602417,495.353333,495.353333,121.125664,22.963594,2,9.072525,2.144376,-3.513491,4.494105,0.243925,3.556634,500.0,1.988487,1.593557,1.435427,3.587249
1771971446.99734,116.978149,392.240051,505.436829,509.218201,118.709198,22.972107,2,8.943617,2.143597,-3.913966,4.520433,0.250754,3.555068,500.0,1.988487,1.593557,1.435427,3.587249
1771971447.522969,118.053879,408.810486,525.603943,526.86438,114.154396,22.406881,2,8.649457,2.196569,-3.976888,4.546188,0.259313,3.662808,443.714844,1.988487,1.593557,1.435427,3.587249
1771971448.056171,125.58403,416.405579,533.166565,541.989624,112.535187,23.170929,2,8.454328,2.125578,1.52296,4.507565,0.266939,3.518962,416.964417,1.988487,1.593557,1.435427,3.587249
1771971448.615832,136.341385,435.898865,559.635803,572.240234,107.212585,23.825901,2,7.933908,2.068347,4.345031,4.440099,0.282001,3.406113,383.151917,1.988487,1.593557,1.435427,3.587249
1771971449.17297,146.02301,422.435913,557.114929,568.458923,107.697708,25.687521,2,6.769403,1.921614,5.396779,3.771335,0.2806,3.129499,302.210266,1.988487,1.593557,1.435427,3.587249
1771971449.766675,157.856094,449.676514,593.667725,607.532593,101.066635,25.983149,2,6.166095,1.900247,5.882524,3.660612,0.299966,3.090745,283.820435,1.988487,1.593557,1.435427,3.587249
1771971450.384315,164.310516,460.868256,617.61615,625.178772,97.14772,26.282164,2,5.749221,1.879124,5.185182,3.550812,0.30876,3.052815,245.568298,1.988487,1.593557,1.435427,3.587249
1771971451.019614,179.370819,473.537628,635.262329,652.908447,94.449173,27.472582,2,5.173461,1.799592,6.046493,3.286505,0.322794,2.913399,240.02034,1.988487,1.593557,1.435427,3.587249
1771971451.714153,195.506866,517.90271,694.502991,713.409607,86.392715,27.404573,2,4.354002,1.803949,4.214695,3.023867,0.352684,2.920898,171.79808,1.988487,1.593557,1.435427,3.587249
1771971452.452808,227.778946,548.652771,738.618408,776.431702,81.232742,29.336637,2,3.635969,1.688019,4.096052,2.685594,0.384495,2.726878,131.088028,1.988487,1.593557,1.435427,3.587249
1771971453.216672,274.035614,543.990601,763.827271,818.026245,78.551788,33.499611,2,2.767405,1.483676,2.310471,2.113819,0.40658,2.41269,112.79081,1.988487,1.593557,1.435427,3.587249
1771971454.004483,509.050598,508.125366,787.775635,1017.175964,76.163818,50.045479,3,1.838289,0.853158,-3.058309,1.44816,0.434301,1.294002,29.102654,5.217613,3.302011,0.468735,3.811238
1771971454.943561,760.439209,440.760986,939.028564,1201.200195,63.895821,63.306618,3,1.204279,0.801297,4.09109,1.130852,0.609338,1.044457,10.0,5.217613,3.302011,0.468735,3.811238
1771971456.216667,691.549011,509.651184,1273.045532,1201.200195,47.131073,57.571499,3,1.256442,0.811758,2.469505,1.599508,0.561371,1.006484,10.476717,5.217613,3.302011,0.468735,3.811238
1771971457.414147,629.910522,503.225952,1197.418945,1133.136475,50.107777,55.589996,3,1.085358,0.823058,4.953561,1.299629,0.518453,1.034476,13.08256,5.217613,3.302011,0.468735,3.811238
1771971458.576334,673.420044,534.082397,1162.126587,1207.502441,51.629486,55.769665,3,1.157573,0.814867,4.75385,1.345247,0.548748,1.043271,13.867916,5.217613,3.302011,0.468735,3.811238
1771971459.748605,671.002869,498.68634,1172.210083,1169.689209,51.185364,57.365913,3,1.163446,0.815294,5.220567,1.363803,0.547065,1.051483,15.100878,5.217613,3.302011,0.468735,3.811238
