timestamp,gct_ms,swing_time,stride_time,gait_cycle_time,cadence,gct_pct,activity_type,speed_mps,vgrf_average,fsa_deg,stride_len_m,vgrf_impulse_bws,vgrf_active_peak_bw,lr_instantaneous_bwps,vgrf_curve_bn_output_0,vgrf_curve_bn_output_1,vgrf_curve_bn_output_2,vgrf_curve_bn_output_3
1771018912.069189,864.077637,454.55127,1273.887451,1318.628906,47.099922,65.528496,3,1.050102,0.788701,19.558491,1.337712,0.681499,1.040561,13.909882,3.534461,3.187645,0.0,4.487743
1771018913.299638,1000.0,466.52417,1230.388916,1466.52417,48.765068,68.188438,3,0.329469,0.776139,3.607262,0.405375,0.776139,0.959871,10.0,3.534461,3.187645,0.0,4.487743
1771018914.842058,849.777222,441.509644,1542.335815,1291.286865,38.902035,65.808556,3,0.561679,0.790256,7.716311,0.866298,0.671542,0.975331,10.0,3.534461,3.187645,0.0,4.487743
1771018916.139618,1000.0,537.364624,1297.500977,1537.364624,46.242741,65.046379,3,0.758693,0.776139,4.986324,0.984405,0.776139,1.022742,11.514189,3.534461,3.187645,0.0,4.487743
1771018917.711866,780.65863,479.557922,1572.163452,1260.216553,38.163971,61.946384,3,1.093559,0.798577,14.591386,1.719253,0.623416,0.996731,13.489866,3.534461,3.187645,0.0,4.487743
1771018918.917458,750.86615,423.596008,1205.532471,1174.462158,49.770538,63.932766,3,1.240751,0.802636,23.897505,1.495766,0.602672,1.088835,21.00198,3.534461,3.187645,0.0,4.487743
1771018920.105651,706.773193,435.375732,1188.133179,1142.148926,50.49939,61.881001,3,1.356631,0.809271,22.772005,1.611858,0.571971,1.159194,29.482296,3.534461,3.187645,0.0,4.487743
1771018921.221748,717.498535,409.73645,1116.049683,1127.234985,53.761047,63.651192,3,1.197401,0.807582,24.531132,1.336359,0.579439,1.118185,23.047865,3.534461,3.187645,0.0,4.487743
1771018922.337857,699.623047,397.784302,1116.049683,1097.407349,53.761047,63.752357,3,1.183639,0.810426,22.603703,1.321,0.566993,1.108035,21.063267,3.534461,3.187645,0.0,4.487743
1771018923.448996,744.907654,413.397888,1111.078369,1158.305542,54.001591,64.310112,3,1.188393,0.803487,21.321716,1.320398,0.598523,1.094981,19.325676,3.534461,3.187645,0.0,4.487743
1771018924.596176,761.591431,402.928101,1147.120117,1164.519531,52.304897,65.399628,3,1.065738,0.801138,22.273634,1.22253,0.61014,1.070652,16.782986,3.534461,3.187645,0.0,4.487743
1771018925.775669,752.0578,417.433044,1179.43335,1169.490845,50.871887,64.306435,3,0.981892,0.802467,20.283802,1.158076,0.603502,1.062405,15.635635,3.534461,3.187645,0.0,4.487743
1771018926.945207,779.46698,418.608704,1169.490845,1198.075684,51.304379,65.059914,3,1.043787,0.798733,22.010878,1.2207,0.622586,1.075877,17.507534,3.534461,3.187645,0.0,4.487743
1771018928.130914,785.425415,406.436035,1185.647339,1191.86145,50.605267,65.899055,3,1.025455,0.797956,21.658247,1.215828,0.626735,1.046423,14.484522,3.534461,3.187645,0.0,4.487743
1771018929.340236,724.648804,421.228394,1209.260986,1145.877197,49.617081,63.239658,3,0.895418,0.806484,19.43014,1.082795,0.584417,1.052657,15.341623,3.534461,3.187645,0.0,4.487743
1771018930.50233,798.53418,440.554443,1162.033936,1239.088623,51.633602,64.445282,3,1.083089,0.796287,20.222212,1.258587,0.635862,1.069683,16.018826,3.534461,3.187645,0.0,4.487743
1771018931.77256,811.642883,472.187073,1270.159058,1283.829956,47.238178,63.220436,3,1.111197,0.794672,21.577938,1.411398,0.64499,1.044434,14.999502,3.534461,3.187645,0.0,4.487743
1771018932.996795,802.109253,412.123047,1224.174805,1214.2323,49.012608,66.05896,3,1.128293,0.795841,22.246605,1.381228,0.638352,1.060749,17.677113,3.534461,3.187645,0.0,4.487743
1771018934.230972,753.249573,429.91217,1234.11731,1183.161743,48.617744,63.664127,3,1.025878,0.802299,21.595438,1.266053,0.604332,1.043278,14.785305,3.534461,3.187645,0.0,4.487743
1771018935.39928,779.46698,416.122986,1168.248047,1195.589966,51.358955,65.195175,3,0.988415,0.798733,22.601892,1.154714,0.622586,1.063322,16.02116,3.534461,3.187645,0.0,4.487743
1771018936.606114,785.425415,427.563965,1206.775391,1212.98938,49.719276,64.751221,3,0.977735,0.797956,21.805281,1.179906,0.626735,1.051286,15.485432,3.534461,3.187645,0.0,4.487743
1771018937.819165,817.601379,428.944153,1212.98938,1246.545532,49.464573,65.589371,3,0.982687,0.793955,21.83663,1.191988,0.649139,1.053965,16.100403,3.534461,3.187645,0.0,4.487743
1771018939.049613,768.741638,410.691711,1230.388916,1179.43335,48.765068,65.178894,3,0.996043,0.800163,22.634424,1.22552,0.615118,1.046179,15.803833,3.534461,3.187645,0.0,4.487743
1771018940.248991,750.86615,429.809998,1199.318359,1180.676147,50.028419,63.596283,3,1.068457,0.802636,19.953472,1.28142,0.602672,1.047886,15.058163,3.534461,3.187645,0.0,4.487743
1771018941.398657,734.182373,398.023926,1149.605713,1132.206299,52.191807,64.845284,3,1.084575,0.805053,22.803724,1.246833,0.591055,1.074901,18.168653,3.534461,3.187645,0.0,4.487743
1771018942.547079,741.332581,414.487244,1148.362915,1155.819824,52.248291,64.139107,3,1.164578,0.804004,23.358221,1.337358,0.596034,1.074901,17.796204,3.534461,3.187645,0.0,4.487743
1771018943.69923,724.648804,410.043091,1152.091431,1134.691895,52.079201,63.863045,3,1.227747,0.806484,23.355488,1.414477,0.584417,1.119408,24.920748,3.534461,3.187645,0.0,4.487743
1771018944.847642,740.140808,424.378723,1148.362915,1164.519531,52.248291,63.557613,3,1.219298,0.804177,23.627661,1.400197,0.595204,1.099359,20.868059,3.534461,3.187645,0.0,4.487743
1771018945.986122,731.79895,397.921631,1138.42041,1129.720581,52.704605,64.776985,3,1.189001,0.805407,20.021673,1.353583,0.589396,1.113252,23.048401,3.534461,3.187645,0.0,4.487743
1771018947.120873,766.358215,404.375427,1134.691895,1170.733643,52.877789,65.459656,3,1.106674,0.800486,23.085386,1.255734,0.613459,1.117941,22.327805,3.534461,3.187645,0.0,4.487743
1771018948.331437,716.306824,441.998718,1210.503784,1158.305542,49.566139,61.840923,3,0.896306,0.807767,1.871213,1.084982,0.578609,0.978753,10.0,3.534461,3.187645,0.0,4.487743
1771018949.417718,681.747559,368.432861,1086.222168,1050.18042,55.23732,64.917183,3,1.073537,0.813419,3.398453,1.1661,0.554546,1.0441,12.055176,3.534461,3.187645,0.0,4.487743
