timestamp,gct_ms,swing_time,stride_time,gait_cycle_time,cadence,gct_pct,activity_type,speed_mps,vgrf_average,fsa_deg,stride_len_m,vgrf_impulse_bws,vgrf_active_peak_bw,lr_instantaneous_bwps,vgrf_curve_bn_output_0,vgrf_curve_bn_output_1,vgrf_curve_bn_output_2,vgrf_curve_bn_output_3
1771445690.31206,1000.0,1000.0,1365.275024,2400.0,43.947189,41.666664,3,0.584209,0.776139,1.0625,0.797606,0.776139,0.972053,10.0,5.217613,3.302011,0.468735,3.811238
1771445742.708721,585.070801,406.945557,1010.804565,992.016357,59.358654,58.977936,3,1.358003,0.832775,22.455208,1.372676,0.487232,1.16887,24.155716,3.144143,3.602381,0.0,4.470929
1771445743.687008,561.050171,392.137268,978.238403,953.187439,61.334743,58.860428,3,1.472794,0.838618,24.038727,1.440744,0.470507,1.225165,30.069885,2.848696,3.831603,0.0,4.64965
1771445744.630225,569.457397,382.477478,943.167053,951.934875,63.615452,59.821045,3,1.499306,0.836517,25.44276,1.414096,0.476361,1.234743,29.502663,2.956609,3.692583,0.0,4.621336
1771445745.583461,564.653259,383.523987,953.187439,948.177246,62.946697,59.551449,3,1.491833,0.83771,24.377405,1.421996,0.473016,1.231144,29.713432,2.928273,3.781366,0.0,4.71364
1771445746.534192,550.240967,385.410828,950.682312,935.651794,63.112564,58.808304,3,1.485259,0.841415,23.384619,1.41201,0.462981,1.236453,30.06913,2.886854,3.867874,0.0,4.701294
1771445747.479913,564.653259,396.049438,945.672119,960.702698,63.446938,58.775024,3,1.499736,0.83771,25.757515,1.418258,0.473016,1.238149,28.893803,2.862481,3.821122,0.0,4.730539
1771445748.451938,565.854309,407.373901,971.975647,973.22821,61.729942,58.141994,3,1.458463,0.83741,25.497019,1.41759,0.473852,1.195898,24.701326,3.188443,3.612926,0.0,4.560997
1771445749.410185,565.854309,392.343323,958.197632,958.197632,62.617561,59.054028,3,1.470726,0.83741,26.323536,1.409246,0.473852,1.232193,28.811928,3.128412,3.56995,0.0,4.565725
1771445750.377199,561.050171,400.90509,966.965454,961.955261,62.049786,58.323936,3,1.464819,0.838618,26.436516,1.41643,0.470507,1.218578,27.794163,3.013741,3.639439,0.0,4.617211
1771445751.33294,562.251221,394.693848,955.692505,956.945068,62.7817,58.754807,3,1.481074,0.838314,27.089319,1.415452,0.471343,1.251783,30.814568,2.862515,3.851111,0.0,4.66957
1771445752.299955,568.256348,404.971863,966.965454,973.22821,62.049786,58.388805,3,1.463434,0.836813,25.695108,1.41509,0.475525,1.191271,24.482231,3.211326,3.58318,0.0,4.622345
1771445753.268221,561.050171,399.652527,968.218018,960.702698,61.969513,58.399982,3,1.461227,0.838618,26.727379,1.414786,0.470507,1.216115,27.392897,3.173741,3.582517,0.0,4.645604
1771445754.230225,577.864624,401.626221,961.955261,979.490845,62.372963,58.996426,3,1.443371,0.834477,24.859287,1.388458,0.482215,1.210411,26.017759,3.158937,3.575804,0.0,4.595014
1771445755.219786,569.457397,411.286011,989.51123,980.743408,60.635998,58.063854,3,1.427793,0.836517,23.1661,1.412817,0.476361,1.212028,27.82025,3.1,3.864684,0.0,4.597937
1771445756.195568,582.668701,406.842529,975.733276,989.51123,61.492214,58.884495,3,1.461776,0.833337,23.716677,1.426304,0.48556,1.183815,23.510654,3.357266,3.482625,0.0,4.548414
1771445757.186381,569.457397,407.528442,990.763794,976.98584,60.559338,58.287167,3,1.437356,0.836517,22.638819,1.424081,0.476361,1.199215,26.303543,3.161974,3.719346,0.0,4.647874
1771445758.15089,583.869751,395.621094,964.460327,979.490845,62.210957,59.609516,3,1.398603,0.833055,22.48654,1.348897,0.486396,1.19012,24.414415,3.238796,3.4612,0.0,4.516602
1771445759.136692,589.874878,402.141479,985.753601,992.016357,60.867138,59.462212,3,1.36759,0.831663,22.186377,1.348107,0.490577,1.185907,24.43672,3.376821,3.420365,0.0,4.529128
1771445760.11999,565.854309,392.343323,983.248474,958.197632,61.022217,59.054028,3,1.404341,0.83741,24.367208,1.380816,0.473852,1.194943,25.99786,3.326606,3.431167,0.0,4.602714
1771445761.080742,586.27179,395.724182,960.702698,981.995972,62.454285,59.702057,3,1.394639,0.832495,21.868237,1.339833,0.488068,1.187868,23.775501,3.170187,3.50677,0.0,4.406086
1771445762.07783,587.472839,410.806213,997.02655,998.279053,60.17894,58.84856,3,1.343804,0.832217,19.243813,1.339808,0.488905,1.157792,21.73913,3.069421,4.035246,0.0,4.511203
1771445763.061127,585.070801,395.672607,983.248474,980.743408,61.022217,59.655849,3,1.390967,0.832775,23.808111,1.367666,0.487232,1.177464,23.617296,3.393725,3.29364,0.0,4.449549
1771445764.029394,581.467651,382.992676,968.218018,964.460327,61.969513,60.289429,3,1.398562,0.83362,24.531099,1.354113,0.484723,1.18875,24.567883,3.284855,3.466576,0.0,4.492736
1771445764.995155,562.251221,383.420898,965.712891,945.672119,62.130268,59.455196,3,1.448074,0.838314,26.975296,1.398424,0.471343,1.202747,26.802341,2.974189,3.767924,0.0,4.692305
1771445765.943382,561.050171,385.874512,948.177246,946.924683,63.279308,59.249718,3,1.437532,0.838618,26.734037,1.363035,0.470507,1.202542,25.110014,2.974189,3.767924,0.0,4.692305
1771445766.896618,573.060486,392.652405,953.187439,965.712891,62.946697,59.340668,3,1.452097,0.835635,26.435957,1.384121,0.47887,1.20488,25.383394,2.974189,3.767924,0.0,4.692305
1771445767.853612,575.462585,383.98761,956.945068,959.450195,62.699524,59.978371,3,1.427472,0.835054,25.374323,1.366013,0.480542,1.20372,25.932625,2.974189,3.767924,0.0,4.692305
1771445768.815616,570.658447,386.286621,961.955261,956.945068,62.372963,59.633358,3,1.407409,0.836222,25.053097,1.353865,0.477197,1.208222,26.317261,2.974189,3.767924,0.0,4.692305
1771445769.778873,586.27179,393.219055,963.207825,979.490845,62.291851,59.854752,3,1.397187,0.832495,25.465052,1.345782,0.488068,1.201753,24.904194,2.974189,3.767924,0.0,4.692305
1771445770.765928,583.869751,400.631287,987.006165,984.501038,60.789894,59.306156,3,1.37961,0.833055,24.599648,1.361683,0.486396,1.193702,24.968195,2.974189,3.767924,0.0,4.692305
1771445771.747973,610.292358,399.259644,981.995972,1009.552002,61.100048,60.451801,3,1.323052,0.827134,22.997969,1.299232,0.504793,1.195116,24.543312,2.974189,3.767924,0.0,4.692305
1771445772.760079,618.699585,402.125366,1012.057068,1020.824951,59.285194,60.607803,3,1.222147,0.825356,19.589863,1.236883,0.510647,1.111803,15.81352,2.974189,3.767924,0.0,4.692305
1771445773.765922,600.684143,386.322021,1005.794373,987.006165,59.654339,60.859211,3,1.394573,0.829227,24.217573,1.402654,0.498103,1.188182,26.569801,2.974189,3.767924,0.0,4.692305
1771445774.760493,609.091309,394.197937,994.521423,1003.289246,60.330524,60.709442,3,1.374491,0.827392,24.731272,1.366961,0.503957,1.197826,26.112215,2.974189,3.767924,0.0,4.692305
1771445775.777621,677.549988,410.912415,1017.067261,1088.462402,58.993149,62.24836,3,1.199865,0.814144,20.568361,1.220344,0.551624,1.115614,16.275965,2.974189,3.767924,0.0,4.692305
1771445779.888685,783.24054,498.113953,1107.25061,1281.354492,54.188274,61.12598,3,1.056616,0.79824,3.049824,1.169938,0.625214,0.997432,10.0,2.974189,3.767924,0.0,4.692305
1771445781.102463,929.765991,436.761597,1213.717041,1366.527588,49.434917,68.038582,3,0.58039,0.782171,-1.934617,0.70443,0.727236,0.99211,10.0,2.974189,3.767924,0.0,4.692305
1771445863.431477,667.941711,406.742615,1430.407349,1074.684326,41.946095,62.152363,3,0.164575,0.81584,10.698096,0.235409,0.544933,0.96455,10.0,2.974189,3.767924,0.0,4.692305
1771445864.464876,741.204529,368.551086,1033.350342,1109.755615,58.06356,66.789886,3,0.740686,0.804022,3.448271,0.765388,0.595945,1.061511,10.0,2.974189,3.767924,0.0,4.692305
1771445865.638574,574.261536,425.270081,1173.635498,999.531616,51.123199,57.453068,3,1.251527,0.835344,24.278082,1.468837,0.479706,1.115818,23.338188,2.974189,3.767924,0.0,4.692305
1771445866.619366,591.075928,407.203125,980.743408,998.279053,61.178082,59.209488,3,1.480682,0.831388,25.310205,1.452169,0.491413,1.214859,27.400078,2.974189,3.767924,0.0,4.692305
1771445867.613936,559.849121,402.10614,994.521423,961.955261,60.330524,58.199085,3,1.520679,0.838924,26.553404,1.512348,0.469671,1.226006,30.521366,2.974189,3.767924,0.0,4.692305
1771445868.578445,567.055298,404.920349,964.460327,971.975647,62.210957,58.340485,3,1.520433,0.837111,26.098093,1.466398,0.474688,1.230721,29.078705,2.974189,3.767924,0.0,4.692305
1771445869.542955,567.055298,397.405029,964.460327,964.460327,62.210957,58.79509,3,1.48252,0.837111,25.233545,1.429831,0.474688,1.230089,28.794846,2.974189,3.767924,0.0,4.692305
1771445870.508717,568.256348,398.709106,965.712891,966.965454,62.130268,58.766972,3,1.465466,0.836813,25.476589,1.415219,0.475525,1.252278,31.837109,2.974189,3.767924,0.0,4.692305
1771445871.476996,573.060486,400.167725,968.218018,973.22821,61.969513,58.882439,3,1.432486,0.835635,24.837852,1.386959,0.47887,1.219146,27.762896,2.974189,3.767924,0.0,4.692305
1771445872.475324,571.859436,425.167114,998.279053,997.02655,60.103436,57.356487,3,1.367064,0.835928,22.202526,1.364711,0.478033,1.202235,26.117228,2.974189,3.767924,0.0,4.692305
1771445873.429813,593.478027,383.507812,954.440002,976.98584,62.864086,60.745819,3,1.367141,0.830841,22.360647,1.304854,0.493086,1.198234,24.524113,2.974189,3.767924,0.0,4.692305
1771445874.4081,592.276978,384.708862,978.238403,976.98584,61.334743,60.622883,3,1.398591,0.831114,24.276073,1.368155,0.49225,1.17327,23.152054,2.974189,3.767924,0.0,4.692305
1771445875.403922,558.648132,402.054565,995.773987,960.702698,60.254639,58.149952,3,1.434752,0.83923,25.025408,1.428688,0.468834,1.210112,28.010292,2.974189,3.767924,0.0,4.692305
1771445876.347139,567.055298,384.879578,943.167053,951.934875,63.615452,59.56871,3,1.470485,0.837111,26.201548,1.386913,0.474688,1.237625,28.795006,2.974189,3.767924,0.0,4.692305
1771445877.301628,573.060486,387.642212,954.440002,960.702698,62.864086,59.650143,3,1.437537,0.835635,25.349318,1.372043,0.47887,1.225862,27.934401,2.974189,3.767924,0.0,4.692305
1771445878.247349,569.457397,372.457092,945.672119,941.91449,63.446938,60.457439,3,1.44575,0.836517,25.433903,1.367205,0.476361,1.234837,28.973743,2.974189,3.767924,0.0,4.692305
1771445879.204343,577.864624,387.848267,956.945068,965.712891,62.699524,59.838139,3,1.419734,0.834477,25.036945,1.358608,0.482215,1.222453,27.460295,2.974189,3.767924,0.0,4.692305
1771445880.165094,588.673889,383.301758,960.702698,971.975647,62.454285,60.564674,3,1.439854,0.831939,24.815971,1.383271,0.489741,1.209894,26.861128,2.974189,3.767924,0.0,4.692305
1771445881.16217,594.679016,408.610229,997.02655,1003.289246,60.17894,59.272938,3,1.403091,0.830569,23.936909,1.398919,0.493922,1.174306,24.054718,2.974189,3.767924,0.0,4.692305
1771445882.170519,598.282166,413.774902,1008.299438,1012.057068,59.506134,59.115456,3,1.311967,0.82976,21.785583,1.322856,0.496431,1.163352,22.4685,2.974189,3.767924,0.0,4.692305
1771445883.165089,606.689331,396.599915,994.521423,1003.289246,60.330524,60.470032,3,1.344852,0.827911,22.744246,1.337485,0.502285,1.186322,25.228809,2.974189,3.767924,0.0,4.692305
1771445884.17469,601.885193,402.656616,1009.552002,1004.541809,59.432304,59.916389,3,1.306433,0.828961,23.218573,1.318912,0.49894,1.163849,22.568998,2.974189,3.767924,0.0,4.692305
1771445885.173017,613.895447,396.909119,998.279053,1010.804565,60.103436,60.733349,3,1.293393,0.826366,23.369139,1.291167,0.507302,1.17597,23.246986,2.974189,3.767924,0.0,4.692305
1771445886.210186,606.689331,422.903442,1037.108032,1029.592773,57.853184,58.925175,3,1.430306,0.827911,23.346996,1.483382,0.502285,1.157253,23.859798,2.974189,3.767924,0.0,4.692305
1771445887.217283,577.864624,399.121216,1007.046875,976.98584,59.580147,59.147697,3,1.3735,0.834477,24.019447,1.383178,0.482215,1.174442,24.256535,2.974189,3.767924,0.0,4.692305
1771445888.189307,577.864624,394.111023,971.975647,971.975647,61.729942,59.452583,3,1.416421,0.834477,24.839676,1.376727,0.482215,1.214533,27.150927,2.974189,3.767924,0.0,4.692305
1771445889.166342,573.060486,398.915161,976.98584,971.975647,61.413376,58.958317,3,1.439585,0.835635,23.4391,1.406454,0.47887,1.198508,26.301706,2.974189,3.767924,0.0,4.692305
1771445890.130851,569.457397,391.2453,964.460327,960.702698,62.210957,59.275089,3,1.475315,0.836517,24.835434,1.422883,0.476361,1.239717,30.823799,2.974189,3.767924,0.0,4.692305
1771445891.09536,575.462585,395.260498,964.460327,970.723083,62.210957,59.281849,3,1.452781,0.835054,24.004375,1.40115,0.480542,1.221027,28.544582,2.974189,3.767924,0.0,4.692305
