timestamp,gct_ms,swing_time,stride_time,gait_cycle_time,cadence,gct_pct,activity_type,speed_mps,vgrf_average,fsa_deg,stride_len_m,vgrf_impulse_bws,vgrf_active_peak_bw,lr_instantaneous_bwps,vgrf_curve_bn_output_0,vgrf_curve_bn_output_1,vgrf_curve_bn_output_2,vgrf_curve_bn_output_3
1771531804.704863,1000.0,1000.0,558.635498,2113.044922,107.404564,47.325073,3,0.1,0.776139,-13.442394,0.1,0.776139,1.553374,10.0,6.426587,4.534387,0.778511,4.61139
1771531811.669374,271.602356,512.491394,1579.460327,784.09375,37.987659,34.639015,3,0.51782,0.990309,40.347069,0.817876,0.26897,1.14577,36.961273,6.581748,4.21069,0.0,5.780474
1771531812.438486,290.54422,516.095337,769.063171,806.639587,78.016998,36.019089,2,0.1,1.382949,33.581291,0.1,0.401808,2.270871,46.021179,1.986462,1.784646,1.037957,3.971261
1771531817.126997,237.094315,572.050354,782.841187,809.144653,76.643898,29.301846,2,0.321665,1.689972,27.291151,0.251813,0.400683,2.730051,66.500237,1.916731,1.851321,1.561657,4.342636
1771531817.869794,224.266357,503.46283,742.759705,727.729187,80.779823,30.817282,2,0.56188,1.609014,41.287045,0.417342,0.360848,2.601198,66.594925,1.250895,2.126101,0.690885,4.081845
1771531818.640146,213.576385,544.213867,770.315735,757.790222,77.890137,28.184105,2,0.757333,1.755262,45.0,0.583386,0.374883,2.838025,72.467781,1.718142,2.151609,0.271151,4.265271
1771531819.397973,222.128372,545.682251,757.790222,767.810608,79.177582,28.930101,2,0.534768,1.711126,45.0,0.405242,0.38009,2.764639,87.207611,1.166636,2.047888,0.721199,4.279479
1771531820.202156,315.131195,597.974731,804.13446,913.105957,74.614388,34.512009,2,0.248121,1.441433,24.52667,0.199522,0.454241,2.352165,66.269066,2.168511,1.713844,1.24898,3.938881
1771531820.998812,231.749359,467.171295,796.619202,698.920654,75.318298,33.15818,2,0.956685,1.498504,11.630758,0.762114,0.347277,2.434295,64.049866,1.691043,1.910659,0.729737,3.70091
1771531824.116558,334.373138,601.278687,792.861572,935.651794,75.675255,35.736923,2,0.496677,1.393523,15.955709,0.393796,0.465957,2.285355,54.351192,2.109997,1.62155,1.253639,3.848442
1771531824.850586,279.854248,390.257812,733.991882,670.112061,81.744774,41.762306,2,0.52957,1.198768,14.40752,0.3887,0.33548,2.033844,43.964745,2.281096,1.63361,0.582498,3.90035
1771531826.629299,729.194214,436.926025,706.435852,1166.120239,84.933403,62.531651,3,0.198774,0.805797,1.312353,0.140421,0.587582,1.275438,14.701057,5.222686,2.675419,0.154051,4.774604
1771531831.961656,1000.0,500.550049,899.327942,1500.550049,66.716484,66.642227,3,0.1,0.776139,16.375046,0.1,0.776139,1.136192,10.0,6.420972,4.429636,0.2042,5.076779
1771531837.803824,187.920441,212.079559,400.0,400.0,150.0,46.98011,2,0.1,1.070477,31.95121,0.1,0.201164,1.885773,29.344109,1.85705,2.172101,2.065125,3.621381
1771531840.294008,265.957275,463.024414,531.079468,728.981689,112.97744,36.483395,2,0.1,1.365904,1.043551,0.1,0.363272,2.247726,25.242977,1.471534,1.594331,3.064553,2.965384
1771531841.308631,181.506454,734.104614,1014.562195,915.611084,59.138809,19.823532,2,0.45302,2.477131,-3.301949,0.459617,0.449615,4.273202,39.319,3.397604,0.977105,1.511017,3.907868
1771531841.90612,378.202057,449.730743,597.464355,827.9328,100.4244,45.680283,2,0.949014,1.099694,2.237266,0.567002,0.415907,1.918267,35.992142,1.91041,2.174464,1.479922,4.003125
1771531842.657684,231.749359,348.179413,751.527588,579.928772,79.837387,39.961693,2,0.768167,1.250815,-1.941344,0.577299,0.289876,2.097904,40.363503,1.143323,1.778036,2.920879,2.766832
1771531848.195471,205.024399,562.786194,796.619202,767.810608,75.318298,26.702469,2,0.330785,1.850234,32.826603,0.26351,0.379343,3.00155,75.723648,1.816969,1.780509,1.55635,4.139957
1771531848.623866,435.927948,262.992706,428.370697,698.920654,140.065598,62.371593,2,1.066995,0.817088,-27.994938,0.457069,0.356191,1.634402,54.378944,2.560897,1.060549,2.832818,2.131949
1771531854.435972,239.232315,541.103821,831.690491,780.336121,72.14222,30.657598,2,0.432082,1.617168,21.890015,0.359358,0.386879,2.613923,60.195606,2.769235,1.486004,1.194853,3.568673
1771531872.358317,1000.0,1000.0,968.218018,2141.853516,61.969513,46.688534,3,0.521032,0.776139,5.100894,0.504473,0.776139,1.090335,10.0,4.916465,3.716004,0.0,4.196721
1771531918.588376,1000.0,670.89624,1054.643677,1670.89624,56.891254,59.848118,3,0.1,0.776139,3.274371,0.105464,0.776139,1.03856,10.0,4.916465,3.716004,0.0,4.196721
1771531920.370834,1000.0,449.195679,1782.372925,1449.195679,33.662991,69.003799,3,0.210029,0.776139,-12.846867,0.374349,0.776139,0.926083,10.0,4.916465,3.716004,0.0,4.196721
1771532109.651419,302.829041,279.604797,1472.994019,582.433838,40.733364,51.993721,3,0.367949,0.95999,7.304094,0.541986,0.290713,0.96572,10.0,4.916465,3.716004,0.0,4.196721
1771532116.657263,290.818787,304.140503,1310.162964,594.95929,45.79583,48.880451,3,0.1,0.970881,4.197196,0.131016,0.28235,1.07035,10.356518,4.916465,3.716004,0.0,4.196721
1771532117.341189,100.0,374.714905,683.890076,474.714905,87.733398,21.065275,2,0.1,2.333684,1.123823,0.1,0.233368,3.952761,11.433973,1.580796,2.125754,1.459003,3.36306
1771532117.809666,1000.0,1000.0,468.452148,2153.126465,128.08139,46.444092,3,0.1,0.776139,3.392599,0.1,0.776139,1.64259,10.0,4.916465,3.716004,0.0,4.196721
1771532194.669796,100.0,300.0,584.938965,400.0,102.574806,25.0,2,1.043089,1.973259,0.815499,0.610143,0.197326,3.224772,230.601761,1.580796,2.125754,1.459003,3.36306
1771532207.314884,401.720001,299.705658,918.11615,701.425659,65.351212,57.271927,2,0.448892,0.885957,6.475122,0.412135,0.355906,1.697324,17.372284,1.580796,2.125754,1.459003,3.36306
1771532213.093172,801.255981,477.593384,1038.360596,1278.849365,57.783394,62.654449,3,0.225588,0.795947,-14.112207,0.234242,0.637757,0.998617,10.0,4.916465,3.716004,0.0,4.196721
1771532214.139108,1000.0,786.130493,1045.875854,1786.130493,57.368187,55.986954,3,0.138401,0.776139,2.677649,0.14475,0.776139,0.993397,10.0,4.916465,3.716004,0.0,4.196721
1771532221.351634,1000.0,1000.0,2235.794434,2400.0,26.836098,41.666664,3,0.867764,0.776139,18.08654,1.940141,0.776139,0.942494,10.0,4.916465,3.716004,0.0,4.196721
1771532225.845989,1000.0,1000.0,913.105957,2131.833008,65.709785,46.90799,3,0.1,0.776139,-2.598472,0.1,0.776139,1.122307,10.0,4.916465,3.716004,0.0,4.196721
1771532269.580856,113.066528,811.312317,1253.798462,924.378845,47.85458,12.231622,3,0.217114,1.402581,3.462747,0.272217,0.158585,0.984814,10.0,4.916465,3.716004,0.0,4.196721
1771532270.554132,352.546112,896.242065,973.22821,1248.788208,61.650494,28.231058,2,0.612087,1.752415,9.393173,0.5957,0.617807,2.833242,47.208611,1.580796,2.125754,1.459003,3.36306
1771532273.566665,318.442444,490.702209,1504.307617,809.144653,39.88546,39.355442,3,0.364433,0.94706,3.488871,0.54822,0.301584,0.941453,10.0,4.916465,3.716004,0.0,4.196721
1771532274.379604,637.968567,570.73822,812.902283,1208.706787,73.809608,52.781086,2,0.1,0.957623,-12.209711,0.1,0.610933,1.767081,16.479395,1.580796,2.125754,1.459003,3.36306
1771532286.264371,863.709473,695.710205,1291.374878,1559.419678,46.462109,55.386597,3,0.287443,0.788741,6.515313,0.371197,0.681243,1.023206,10.0,4.916465,3.716004,0.0,4.196721
1771532287.668548,971.802002,545.031128,1404.104004,1516.83313,42.731876,64.067825,3,0.29458,0.778456,-12.691572,0.413621,0.756505,0.96988,10.0,4.916465,3.716004,0.0,4.196721
1771532288.973762,1000.0,841.242554,1305.152832,1841.242554,45.971626,54.31115,3,0.43274,0.776139,9.572827,0.564792,0.776139,0.973971,10.0,4.916465,3.716004,0.0,4.196721
1771532290.927831,593.478027,429.85199,1953.97168,1023.330017,30.706688,57.994781,3,0.1,0.830841,1.862632,0.195397,0.493086,0.956916,10.0,4.916465,3.716004,0.0,4.196721
1771532291.815935,433.789948,324.000275,888.055054,757.790222,67.563377,57.244068,2,0.1,0.886366,8.322154,0.1,0.384497,1.697711,15.476967,1.580796,2.125754,1.459003,3.36306
1771532304.34203,1000.0,1000.0,1108.503174,2232.036865,54.127045,44.802128,3,0.397974,0.776139,8.550754,0.441156,0.776139,0.994201,10.0,4.916465,3.716004,0.0,4.196721
1771532306.689424,424.132935,357.455688,2347.270996,781.588623,25.5616,54.265491,3,0.1,0.884568,5.263332,0.234727,0.375174,0.932643,10.0,4.916465,3.716004,0.0,4.196721
1771532309.438896,218.75705,415.031219,1595.74353,633.788269,37.600029,34.515793,3,1.602011,1.061338,35.533592,2.556398,0.232175,1.215216,53.58646,4.916465,3.716004,0.0,4.196721
