timestamp,gct_ms,swing_time,stride_time,gait_cycle_time,cadence,gct_pct,activity_type,speed_mps,vgrf_average,fsa_deg,stride_len_m ,vgrf_impulse_bws,vgrf_active_peak_bw,lr_instantaneous_bwps
3.777500, 100.000000, 311.250000, 1381.250000, 411.250000, 43.438915, 24.316111, 3, 0.392477, 1.494870, 2.933258, 0.542109, 0.149487, 0.972241, 10.000000
4.213750, 1000.000000, 895.000000, 436.250000, 1895.000000, 137.535812, 52.770447, 3, 0.380305, 0.776139, 3.708367, 0.165908, 0.776139, 1.958269, 10.000000
6.332500, 603.039795, 585.710205, 2118.750000, 1188.750000, 28.318584, 50.728901, 3, 0.870125, 0.828707, 0.092457, 1.843577, 0.499744, 0.924295, 10.000000
7.376250, 408.388184, 465.361816, 1043.750000, 873.750000, 57.485031, 46.739708, 2, 0.281310, 1.075758, 2.360009, 0.293618, 0.439327, 1.891593, 24.009567
8.053750, 343.311859, 257.938141, 677.500000, 601.250000, 88.560883, 57.099689, 2, 0.243777, 0.888497, 20.684221, 0.165159, 0.305032, 1.699723, 14.831627
17.128750, 644.990356, 412.509644, 1025.000000, 1057.500000, 58.536587, 60.991997, 3, 1.489854, 0.820094, 14.031486, 1.527101, 0.528953, 1.189080, 27.212440
18.185000, 630.607300, 410.642700, 1056.250000, 1041.250000, 56.804733, 60.562527, 3, 1.288020, 0.822918, 9.012053, 1.360472, 0.518938, 1.164390, 25.312176
19.148750, 656.976257, 334.273743, 963.750000, 991.250000, 62.256809, 66.277550, 3, 1.099544, 0.817835, 0.795592, 1.059685, 0.537298, 1.076692, 12.746544
20.418750, 273.428223, 596.571777, 1270.000000, 870.000000, 47.244095, 31.428532, 3, 2.201969, 0.988346, 1.448144, 2.796500, 0.270242, 1.112684, 39.988155
21.087500, 153.416992, 390.333008, 668.750000, 543.750000, 89.719627, 28.214619, 2, 4.549995, 1.753411, -2.678495, 3.042809, 0.269003, 2.834914, 154.584900
21.625000, 142.748749, 382.251251, 537.500000, 525.000000, 111.627907, 27.190239, 2, 6.108181, 1.817825, -6.018550, 3.283148, 0.259492, 2.944887, 332.508057
22.196250, 133.147324, 426.852661, 571.250000, 560.000000, 105.032822, 23.776308, 2, 6.811673, 2.072569, -10.711178, 3.891168, 0.275957, 3.414344, 381.150391
22.777500, 133.147324, 448.102661, 581.250000, 581.250000, 103.225807, 22.907066, 2, 6.852349, 2.149559, -8.782860, 3.982928, 0.286208, 3.567075, 380.545044
23.333750, 131.013672, 422.736328, 556.250000, 553.750000, 107.865166, 23.659355, 2, 6.886030, 2.082599, -5.694211, 3.830354, 0.272849, 3.433955, 496.843079
23.907500, 139.548279, 444.201721, 573.750000, 583.750000, 104.575165, 23.905487, 2, 6.892468, 2.061606, -6.244519, 3.954553, 0.287694, 3.393004, 217.123184
24.511250, 139.548279, 464.201721, 603.750000, 603.750000, 99.378883, 23.113586, 2, 6.473812, 2.130743, -5.702127, 3.908564, 0.297342, 3.529283, 215.186249
25.092500, 152.350174, 443.899841, 581.250000, 596.250000, 103.225807, 25.551392, 2, 6.200242, 1.931619, -4.133414, 3.603890, 0.294282, 3.147779, 183.218384
25.677500, 179.020798, 437.229187, 585.000000, 616.250000, 102.564102, 29.050028, 2, 5.575313, 1.704243, 4.074361, 3.261558, 0.305095, 2.753342, 243.579727
26.303750, 196.089996, 450.160004, 626.250000, 646.250000, 95.808380, 30.342747, 2, 4.619066, 1.633495, 4.085737, 2.892690, 0.320312, 2.639575, 166.177582
26.957500, 207.825073, 459.674927, 653.750000, 667.500000, 91.778206, 31.134844, 2, 3.962186, 1.593049, 3.866284, 2.590279, 0.331075, 2.576443, 190.292130
27.537500, 404.120880, 405.879120, 580.000000, 810.000000, 103.448273, 49.891464, 2, 2.972373, 1.010558, 5.659163, 1.723976, 0.408388, 1.821407, 87.574020
28.167500, 678.550781, 205.199219, 630.000000, 883.750000, 95.238098, 76.780853, 3, 0.337687, 0.813971, 6.846310, 0.212743, 0.552320, 1.470484, 17.162294
29.216250, 299.572021, 372.927979, 1048.750000, 672.500000, 57.210964, 44.546024, 2, 1.567280, 1.126584, -2.072892, 1.643685, 0.337493, 1.948811, 60.789162
30.010000, 263.299988, 487.950012, 793.750000, 751.250000, 75.590553, 35.048252, 2, 2.526166, 1.420047, -2.098920, 2.005144, 0.373898, 2.322101, 101.961319
30.786250, 246.230774, 510.019226, 776.250000, 756.250000, 77.294685, 32.559441, 2, 2.768596, 1.525257, -2.335712, 2.149123, 0.375565, 2.473748, 116.087448
31.547500, 243.030304, 514.469727, 761.250000, 757.500000, 78.817734, 32.083206, 2, 2.881133, 1.547249, -2.100945, 2.193262, 0.376029, 2.506636, 110.516556
32.296250, 236.629349, 504.620667, 748.750000, 741.250000, 80.133553, 31.923014, 2, 3.120626, 1.554795, -1.383499, 2.336569, 0.367910, 2.518013, 112.849609
33.058750, 251.564896, 528.435120, 762.500000, 780.000000, 78.688522, 32.251911, 2, 3.005691, 1.539384, -1.269889, 2.291840, 0.387255, 2.494827, 108.006134
33.821250, 247.297607, 510.202393, 762.500000, 757.500000, 78.688522, 32.646549, 2, 3.153547, 1.521304, 0.293707, 2.404579, 0.376215, 2.467880, 109.267677
34.597500, 241.963470, 528.036499, 776.250000, 770.000000, 77.294685, 31.423828, 2, 3.154624, 1.578800, -0.296065, 2.448777, 0.382012, 2.554534, 95.562958
35.346250, 248.364426, 507.885559, 748.750000, 756.250000, 80.133553, 32.841579, 2, 3.141036, 1.512529, 0.617051, 2.351851, 0.375658, 2.454902, 104.120964
36.108750, 256.899048, 515.600952, 762.500000, 772.500000, 78.688522, 33.255543, 2, 3.040515, 1.494244, -0.045504, 2.318393, 0.383870, 2.428070, 84.204102
36.866250, 264.366791, 501.883209, 757.500000, 766.250000, 79.207924, 34.501377, 2, 2.900337, 1.441864, -1.377645, 2.197005, 0.381181, 2.352775, 98.719833
37.633750, 246.230774, 500.019226, 767.500000, 746.250000, 78.175896, 32.995750, 2, 2.916590, 1.505666, -2.470345, 2.238483, 0.370741, 2.444797, 108.211227
38.390000, 252.631729, 511.118286, 756.250000, 763.750000, 79.338844, 33.077805, 2, 2.996614, 1.502039, -1.169716, 2.266189, 0.379463, 2.439473, 98.120621
