timestamp,gct_ms,swing_time,stride_time,gait_cycle_time,cadence,gct_pct,activity_type,speed_mps,vgrf_average,fsa_deg,stride_len_m ,vgrf_impulse_bws,vgrf_active_peak_bw,lr_instantaneous_bwps, vgrf_curve_bn_output_0, vgrf_curve_bn_output_1, vgrf_curve_bn_output_2, vgrf_curve_bn_output_3
1762989188.265095, 651.026306, 440.527527, 1124.903320, 1091.553833, 53.337917, 59.642159, 3, 1.289183, 0.818946, 15.801892, 1.450206, 0.533156, 1.119585, 22.536680, 3.790225, 3.059812, 0.000000, 3.638257
1762989189.331045, 317.036804, 421.782288, 1065.900391, 738.819092, 56.290440, 42.911293, 2, 1.632180, 1.167839, 5.393486, 1.739741, 0.370248, 1.996868, 39.936729, 2.119347, 1.389835, 1.013110, 3.330330
1762989190.191768, 229.460083, 528.599060, 860.672913, 758.059143, 69.712898, 30.269417, 2, 2.655313, 1.637347, 0.573972, 2.285356, 0.375706, 2.645658, 88.853172, 2.119347, 1.389835, 1.013110, 3.330330
1762989190.972952, 213.039413, 548.867737, 781.147278, 761.907166, 76.810097, 27.961334, 2, 3.440603, 1.768899, 1.753710, 2.687618, 0.376845, 2.861034, 153.742630, 2.119347, 1.389835, 1.013110, 3.330330
1762989191.752854, 200.997620, 564.757568, 779.864563, 765.755188, 76.936440, 26.248287, 2, 3.755974, 1.881493, 0.303829, 2.929151, 0.378176, 3.057050, 184.999512, 2.119347, 1.389835, 1.013110, 3.330330
1762989192.532755, 199.902908, 578.678955, 779.864563, 778.581848, 76.936440, 25.675259, 2, 3.945698, 1.922511, 2.028500, 3.077110, 0.384315, 3.131134, 215.811661, 2.119347, 1.389835, 1.013110, 3.330330
1762989193.311375, 204.281754, 579.430847, 778.581848, 783.712585, 77.063187, 26.065901, 2, 4.085877, 1.894353, 1.754466, 3.181190, 0.386982, 3.080122, 229.845352, 2.119347, 1.389835, 1.013110, 3.330330
1762989194.090006, 198.808197, 573.360352, 778.581848, 772.168579, 77.063187, 25.746737, 2, 4.047203, 1.917295, 2.721066, 3.151079, 0.381174, 3.121634, 197.629272, 2.119347, 1.389835, 1.013110, 3.330330
1762989194.873755, 200.997620, 585.280334, 783.712585, 786.277954, 76.558678, 25.563177, 2, 4.078102, 1.930748, 2.536299, 3.196059, 0.388076, 3.146185, 215.280289, 2.119347, 1.389835, 1.013110, 3.330330
1762989195.647245, 202.092331, 572.641541, 773.451172, 774.733887, 77.574387, 26.085386, 2, 4.104587, 1.892970, 2.974965, 3.174697, 0.382555, 3.077635, 196.821793, 2.119347, 1.389835, 1.013110, 3.330330
