timestamp,gct_ms,swing_time,stride_time,gait_cycle_time,cadence,gct_pct,activity_type,speed_mps,vgrf_average,fsa_deg,stride_len_m ,vgrf_impulse_bws,vgrf_active_peak_bw,lr_instantaneous_bwps, vgrf_curve_bn_output_0, vgrf_curve_bn_output_1, vgrf_curve_bn_output_2, vgrf_curve_bn_output_3
1764102659.090376, 236.387054, 565.261230, 791.516846, 801.648315, 75.803818, 29.487625, 2, 3.301213, 1.679600, 0.752065, 2.612965, 0.397036, 2.713232, 162.659134, 1.253249, 2.319474, 1.133579, 3.331730
1764102659.851744, 236.387054, 551.330566, 787.717651, 787.717651, 76.169426, 30.009109, 2, 3.115182, 1.651171, 0.132909, 2.453884, 0.390315, 2.667600, 125.600853, 1.253249, 2.319474, 1.133579, 3.331730
1764102660.631900, 233.144516, 543.175232, 780.119080, 776.319763, 76.911339, 30.032021, 2, 3.177866, 1.649945, 1.001406, 2.479114, 0.384676, 2.665647, 132.443649, 1.253249, 2.319474, 1.133579, 3.331730
1764102661.417134, 228.821136, 551.297974, 785.184753, 780.119080, 76.415138, 29.331566, 2, 3.428760, 1.688304, 0.988053, 2.692210, 0.386320, 2.727340, 155.063431, 1.253249, 2.319474, 1.133579, 3.331730
1764102662.192225, 224.497757, 545.489868, 775.053284, 769.987610, 77.414032, 29.156023, 2, 3.468410, 1.698206, 1.400277, 2.688203, 0.381243, 2.743468, 176.657440, 1.253249, 2.319474, 1.133579, 3.331730
1764102662.974913, 226.659439, 558.525330, 782.651855, 785.184753, 76.662437, 28.867022, 2, 3.515703, 1.714770, 5.665814, 2.751571, 0.388669, 2.770635, 130.999237, 1.253249, 2.319474, 1.133579, 3.331730
1764102663.786729, 226.659439, 585.120239, 811.779663, 811.779663, 73.911682, 27.921301, 2, 3.436412, 1.771372, 0.742853, 2.789609, 0.401498, 2.865224, 156.806076, 1.253249, 2.319474, 1.133579, 3.331730
1764102664.596025, 220.174362, 581.473938, 809.246887, 801.648315, 74.143013, 27.465206, 2, 3.365073, 1.800063, 0.070397, 2.723175, 0.396328, 2.914210, 148.858521, 1.253249, 2.319474, 1.133579, 3.331730
1764102665.383780, 218.012695, 567.172058, 787.717651, 785.184753, 76.169426, 27.765783, 2, 3.423916, 1.781049, 0.433051, 2.697079, 0.388291, 2.881668, 160.527695, 1.253249, 2.319474, 1.133579, 3.331730
1764102666.187997, 222.336075, 586.910828, 804.181152, 809.246887, 74.610054, 27.474442, 2, 3.525887, 1.799473, 1.174472, 2.835452, 0.400088, 2.913195, 158.415878, 1.253249, 2.319474, 1.133579, 3.331730
1764102666.988416, 227.740295, 578.973694, 800.381897, 806.713989, 74.964211, 28.230610, 2, 3.423815, 1.752443, 0.282961, 2.740360, 0.399102, 2.833287, 151.614929, 1.253249, 2.319474, 1.133579, 3.331730
1764102667.766051, 224.497757, 549.289124, 777.586182, 773.786865, 77.161865, 29.012867, 2, 3.308293, 1.706370, 0.655350, 2.572483, 0.383076, 2.756829, 129.619675, 1.253249, 2.319474, 1.133579, 3.331730
1764102668.551273, 222.336075, 560.315796, 785.184753, 782.651855, 76.415138, 28.408041, 2, 3.405346, 1.741770, 0.257188, 2.673826, 0.387258, 2.815415, 147.723312, 1.253249, 2.319474, 1.133579, 3.331730
1764102669.344092, 230.982834, 571.931885, 792.783325, 802.914734, 75.682724, 28.768042, 2, 3.443305, 1.720520, 1.135756, 2.729795, 0.397411, 2.780119, 168.012650, 1.253249, 2.319474, 1.133579, 3.331730
1764102670.122982, 235.306183, 548.612183, 778.852600, 783.918335, 77.036400, 30.016670, 2, 3.268064, 1.650766, 0.237383, 2.545340, 0.388435, 2.666955, 129.842499, 1.253249, 2.319474, 1.133579, 3.331730
1764102670.890486, 243.952957, 533.633240, 767.454773, 777.586182, 78.180504, 31.373108, 2, 3.311669, 1.581282, -2.154014, 2.541556, 0.385758, 2.558338, 135.037781, 1.253249, 2.319474, 1.133579, 3.331730
1764102671.652911, 238.548721, 517.508240, 762.389038, 756.056946, 78.699974, 31.551685, 2, 3.469864, 1.572579, -2.678096, 2.645386, 0.375137, 2.545023, 138.843460, 1.253249, 2.319474, 1.133579, 3.331730
1764102672.429268, 223.416901, 535.172852, 776.319763, 758.589722, 77.287743, 29.451612, 2, 3.583767, 1.681600, -1.055124, 2.782149, 0.375698, 2.716468, 110.475189, 1.253249, 2.319474, 1.133579, 3.331730
1764102673.232219, 215.850998, 578.198730, 802.914734, 794.049744, 74.727737, 27.183563, 2, 3.725475, 1.818261, 0.323207, 2.991239, 0.392473, 2.945642, 169.740097, 1.253249, 2.319474, 1.133579, 3.331730
1764102674.030106, 210.446762, 581.070068, 797.848999, 791.516846, 75.202202, 26.587782, 2, 3.832279, 1.858026, 0.658968, 3.057580, 0.391016, 3.015308, 197.973495, 1.253249, 2.319474, 1.133579, 3.331730
1764102674.822937, 212.608459, 582.707703, 792.783325, 795.316162, 75.682724, 26.732571, 2, 3.697380, 1.848199, 1.611200, 2.931221, 0.392943, 2.997967, 198.330826, 1.253249, 2.319474, 1.133579, 3.331730
1764102675.617024, 222.336075, 583.111511, 794.049744, 805.447571, 75.562019, 27.604040, 2, 3.658271, 1.791229, 2.042931, 2.904849, 0.398255, 2.899053, 186.017593, 1.253249, 2.319474, 1.133579, 3.331730
1764102676.419975, 218.012695, 579.836304, 802.914734, 797.848999, 74.727737, 27.325058, 2, 3.517093, 1.809072, -0.400460, 2.823925, 0.394401, 2.929735, 131.855667, 1.253249, 2.319474, 1.133579, 3.331730
1764102677.222939, 222.336075, 585.644348, 802.914734, 807.980408, 74.727737, 27.517509, 2, 3.417572, 1.796725, 0.525178, 2.744019, 0.399477, 2.908474, 147.610397, 1.253249, 2.319474, 1.133579, 3.331730
1764102678.018291, 224.497757, 573.351257, 795.316162, 797.848999, 75.441696, 28.137875, 2, 3.376464, 1.758074, 1.191293, 2.685356, 0.394684, 2.842757, 169.246918, 1.253249, 2.319474, 1.133579, 3.331730
1764102678.822510, 224.497757, 579.683411, 804.181152, 804.181152, 74.610054, 27.916315, 2, 3.546155, 1.771681, 0.593136, 2.851752, 0.397738, 2.865747, 218.465439, 1.253249, 2.319474, 1.133579, 3.331730
1764102679.616596, 228.821136, 570.294312, 794.049744, 799.115417, 75.562019, 28.634304, 2, 3.383802, 1.728352, 0.215041, 2.686907, 0.395483, 2.793083, 158.401947, 1.253249, 2.319474, 1.133579, 3.331730
1764102680.428425, 225.578613, 582.401794, 811.779663, 807.980408, 73.911682, 27.918821, 2, 3.284711, 1.771526, 0.249505, 2.666461, 0.399618, 2.865484, 148.961136, 1.253249, 2.319474, 1.133579, 3.331730
1764102681.213646, 236.387054, 561.461914, 785.184753, 797.848999, 76.415138, 29.628044, 2, 3.310416, 1.671846, 2.102534, 2.599288, 0.395203, 2.700718, 147.027115, 1.253249, 2.319474, 1.133579, 3.331730
1764102682.029262, 228.821136, 577.892822, 815.578979, 806.713989, 73.567368, 28.364594, 2, 3.235823, 1.744371, 0.785746, 2.639070, 0.399149, 2.819762, 138.395432, 1.253249, 2.319474, 1.133579, 3.331730
1764102682.832226, 232.063644, 574.650330, 802.914734, 806.713989, 74.727737, 28.766533, 2, 3.282912, 1.720608, 1.369767, 2.635899, 0.399290, 2.780264, 163.576431, 1.253249, 2.319474, 1.133579, 3.331730
