timestamp,gct_ms,swing_time,stride_time,gait_cycle_time,cadence,gct_pct,activity_type,speed_mps,vgrf_average,fsa_deg,stride_len_m ,vgrf_impulse_bws,vgrf_active_peak_bw,lr_instantaneous_bwps, vgrf_curve_bn_output_0, vgrf_curve_bn_output_1, vgrf_curve_bn_output_2, vgrf_curve_bn_output_3
1764705182.453571, 685.957153, 393.737427, 1093.472656, 1079.694580, 54.871056, 63.532520, 3, 1.192684, 0.812700, 15.834592, 1.304167, 0.557477, 1.109253, 19.660831, 3.507976, 3.629323, 0.000000, 4.222342
1764705183.545840, 701.570618, 406.932556, 1092.219971, 1108.503174, 54.933990, 63.289906, 3, 1.187456, 0.810109, 17.729401, 1.296963, 0.568349, 1.106722, 19.232010, 3.762265, 3.206596, 0.000000, 4.283207
1764705184.669435, 649.926331, 419.747864, 1123.533569, 1069.674194, 53.402943, 60.759281, 3, 1.342051, 0.819154, 18.126919, 1.507839, 0.532390, 1.097606, 20.151279, 3.306211, 3.725968, 0.000000, 4.446259
1764705185.732896, 636.715027, 412.918518, 1063.411499, 1049.633545, 56.422184, 60.660698, 3, 1.403565, 0.821703, 19.897436, 1.492568, 0.523191, 1.131046, 22.662235, 3.150296, 3.898075, 0.000000, 4.596814
1764705186.792610, 624.704712, 422.423706, 1059.653931, 1047.128418, 56.622261, 59.658844, 3, 1.470178, 0.824115, 18.018179, 1.557880, 0.514828, 1.144342, 24.530106, 3.034263, 4.032904, 0.000000, 4.501823
1764705187.831020, 621.101624, 413.501282, 1038.360596, 1034.602905, 57.783394, 60.032852, 3, 1.462554, 0.824856, 18.490608, 1.518658, 0.512320, 1.171396, 27.110998, 3.036904, 4.100148, 0.000000, 4.517930
1764705188.870682, 619.900635, 418.459961, 1039.613159, 1038.360596, 57.713776, 59.699940, 3, 1.474164, 0.825105, 17.892435, 1.532561, 0.511483, 1.153906, 25.137199, 3.076682, 4.089062, 0.000000, 4.528789
1764705189.905346, 617.498535, 414.599243, 1034.602905, 1032.097778, 57.993263, 59.829460, 3, 1.527280, 0.825607, 19.879349, 1.580128, 0.509811, 1.163716, 26.032648, 2.855565, 4.160719, 0.000000, 4.591582
1764705190.938746, 636.715027, 416.676086, 1033.350342, 1053.391113, 58.063560, 60.444313, 3, 1.515893, 0.821703, 19.036421, 1.566448, 0.523191, 1.176281, 27.473293, 2.849308, 4.162842, 0.000000, 4.615937
1764705192.007228, 621.101624, 431.036926, 1068.421631, 1052.138550, 56.157604, 59.032303, 3, 1.452845, 0.824856, 17.312571, 1.552251, 0.512320, 1.147334, 25.195257, 2.912666, 4.202868, 0.000000, 4.546210
1764705193.050648, 655.931519, 423.763062, 1043.370728, 1079.694580, 57.505928, 60.751579, 3, 1.389443, 0.818029, 17.422686, 1.449704, 0.536571, 1.142852, 22.350204, 3.109281, 4.071453, 0.000000, 4.497873
1764705194.106593, 1000.000000, 920.152832, 1055.896240, 1920.152832, 56.823765, 52.079189, 3, 1.073790, 0.776139, 15.703525, 1.133811, 0.776139, 1.137034, 18.605631, 3.324533, 3.832839, 0.000000, 4.231742
1764705196.068178, 702.771606, 443.307861, 1961.486816, 1146.079468, 30.589041, 61.319626, 3, 0.998399, 0.809914, 15.198795, 1.958346, 0.569185, 0.992074, 21.877920, 2.987525, 4.137889, 0.000000, 4.365058
1764705197.221834, 1000.000000, 714.735352, 1153.594727, 1714.735352, 52.011333, 58.318035, 3, 1.110575, 0.776139, 18.479219, 1.281153, 0.776139, 1.102185, 17.730875, 3.214561, 3.833236, 0.000000, 4.352668
1764705198.971726, 784.441528, 489.397583, 1749.806641, 1273.839111, 34.289501, 61.580894, 3, 0.831804, 0.798084, 10.247699, 1.455496, 0.626050, 0.973388, 12.422171, 3.430993, 3.946669, 0.000000, 4.044636
1764705200.274446, 1000.000000, 543.136475, 1302.647705, 1543.136475, 46.060036, 64.803085, 3, 0.854461, 0.776139, 11.182544, 1.113062, 0.776139, 0.986160, 10.000000, 4.248623, 3.066052, 0.000000, 3.815058
1764705201.942924, 887.730042, 647.891174, 1668.391113, 1535.621216, 35.962791, 57.809181, 3, 0.948989, 0.786239, 3.268305, 1.583285, 0.697968, 0.940893, 10.000000, 3.884359, 3.523319, 0.000000, 3.599018
1764705203.299492, 649.926331, 458.576843, 1356.507202, 1108.503174, 44.231243, 58.630985, 3, 0.726654, 0.819154, -2.538111, 0.985712, 0.532390, 1.023094, 19.160168, 4.073174, 3.577307, 0.293301, 3.380494
1764705204.376742, 696.766479, 429.272217, 1077.189453, 1126.038696, 55.700508, 61.877666, 3, 0.672415, 0.810894, -4.244955, 0.724318, 0.565004, 1.110658, 21.243292, 3.773472, 3.827895, 0.097252, 3.524548
1764705205.526641, 726.792114, 454.358643, 1149.837158, 1181.150757, 52.181301, 61.532547, 3, 0.616629, 0.806159, -4.306246, 0.709023, 0.585910, 1.084992, 20.142366, 3.753384, 3.725297, 0.021563, 3.450366
1764705206.839371, 960.992737, 595.921814, 1312.668091, 1556.914551, 45.708431, 61.724178, 3, 0.760323, 0.779381, 6.109311, 0.998051, 0.748979, 1.024754, 11.557333, 3.728840, 3.470263, 0.000000, 3.817965
1764705208.297407, 783.240540, 489.346130, 1457.963379, 1272.586670, 41.153297, 61.547131, 3, 0.924557, 0.798240, 7.302717, 1.347970, 0.625214, 0.981712, 10.000000, 3.732429, 3.537114, 0.000000, 3.859250
1764705209.691564, 655.931519, 605.382202, 1394.083618, 1261.313721, 43.039024, 52.003838, 3, 1.179303, 0.818029, 7.119143, 1.644047, 0.536571, 0.983625, 10.000000, 3.628118, 3.677110, 0.000000, 3.864846
1764705210.815158, 366.443085, 482.783051, 1123.533569, 849.226135, 53.402943, 43.150238, 2, 1.563516, 1.161613, -0.036506, 1.756662, 0.425665, 1.989524, 30.461485, 2.042162, 1.718472, 1.047396, 3.170099
1764705211.683209, 247.784317, 481.197388, 868.014282, 728.981689, 69.123283, 33.990471, 2, 2.255470, 1.462880, -0.305838, 1.957780, 0.362479, 2.382705, 77.497803, 1.593353, 2.100089, 1.548320, 3.250741
1764705212.439785, 232.818344, 506.183716, 756.537720, 739.002075, 79.308670, 31.504423, 2, 2.809536, 1.574873, -0.315392, 2.125520, 0.366659, 2.548526, 89.007950, 1.381725, 2.371867, 1.440735, 3.256914
