timestamp,gct_ms,swing_time,stride_time,gait_cycle_time,cadence,gct_pct,activity_type,speed_mps,vgrf_average,fsa_deg,stride_len_m ,vgrf_impulse_bws,vgrf_active_peak_bw,lr_instantaneous_bwps, vgrf_curve_bn_output_0, vgrf_curve_bn_output_1, vgrf_curve_bn_output_2, vgrf_curve_bn_output_3
1764705183.011569, 669.142761, 433.097595, 1075.936890, 1102.240356, 55.765354, 60.707516, 3, 1.367630, 0.815625, 17.373304, 1.471484, 0.545770, 1.124340, 20.359234, 3.545098, 3.592594, 0.000000, 4.549480
1764705184.108860, 669.142761, 428.087463, 1097.230225, 1097.230225, 54.683144, 60.984718, 3, 1.379249, 0.815625, 18.920761, 1.513354, 0.545770, 1.104755, 19.780966, 3.443341, 3.520128, 0.000000, 4.472292
1764705185.199876, 643.921204, 420.742737, 1090.967529, 1064.663940, 54.997055, 60.481167, 3, 1.445229, 0.820300, 19.687811, 1.576698, 0.528208, 1.139382, 25.163868, 3.306923, 3.662579, 0.000000, 4.678698
1764705186.259592, 636.715027, 415.423523, 1059.653931, 1052.138550, 56.622261, 60.516273, 3, 1.516965, 0.821703, 19.999140, 1.607458, 0.523191, 1.153197, 26.734682, 3.301028, 3.648101, 0.000000, 4.791976
1764705187.311779, 624.704712, 414.908447, 1052.138550, 1039.613159, 57.026711, 60.090111, 3, 1.559016, 0.824115, 20.279732, 1.640301, 0.514828, 1.170217, 28.759705, 3.368261, 3.673751, 0.000000, 4.789626
1764705188.347683, 619.900635, 410.944580, 1035.855469, 1030.845215, 57.923138, 60.135181, 3, 1.589990, 0.825105, 21.512733, 1.647000, 0.511483, 1.187233, 30.391109, 3.122672, 3.811940, 0.000000, 4.758391
1764705189.386105, 624.704712, 418.666016, 1038.360596, 1043.370728, 57.783394, 59.873707, 3, 1.584179, 0.824115, 20.241179, 1.644949, 0.514828, 1.181394, 29.459545, 3.199782, 3.687485, 0.000000, 4.777135
1764705190.424514, 617.498535, 413.346680, 1038.360596, 1030.845215, 57.783394, 59.902161, 3, 1.615656, 0.825607, 20.593517, 1.677634, 0.509811, 1.206260, 32.521233, 3.061527, 3.919449, 0.000000, 4.720585
1764705191.471692, 629.508850, 430.145081, 1047.128418, 1059.653931, 57.299561, 59.407024, 3, 1.537850, 0.823139, 19.333424, 1.610327, 0.518173, 1.172454, 27.813683, 3.238004, 3.806549, 0.000000, 4.634431
1764705192.522639, 643.921204, 421.995300, 1050.885986, 1065.916504, 57.094681, 60.410099, 3, 1.521673, 0.820300, 19.525297, 1.599105, 0.528208, 1.160340, 26.761391, 3.214252, 3.725878, 0.000000, 4.748283
1764705193.588604, 677.549988, 423.437927, 1065.916504, 1100.987915, 56.289589, 61.540188, 3, 1.417728, 0.814144, 19.267853, 1.511179, 0.551624, 1.168461, 26.748421, 3.025828, 3.973342, 0.000000, 4.586309
1764705194.718462, 396.375000, 471.639282, 1129.796387, 868.014282, 53.106915, 45.664570, 2, 0.718987, 1.100058, 1.333468, 0.812309, 0.436035, 1.918675, 18.811829, 1.044000, 2.081471, 0.868164, 3.423651
1764705195.416166, 760.421021, 285.454834, 697.668091, 1045.875854, 86.000778, 72.706619, 3, 0.227656, 0.801299, 2.973833, 0.158828, 0.609325, 1.235083, 10.000000, 4.289624, 3.473394, 0.000000, 3.621216
1764705196.644976, 1000.000000, 1000.000000, 1228.747559, 2400.000000, 48.830208, 41.666664, 3, 1.222778, 0.776139, 18.194944, 1.502485, 0.776139, 1.102510, 19.219952, 4.289624, 3.473394, 0.000000, 3.621216
1764705202.662512, 779.637390, 581.879944, 1605.763916, 1361.517334, 37.365395, 57.262390, 3, 1.036636, 0.798711, 1.416626, 1.664592, 0.622705, 0.959056, 10.000000, 4.526411, 3.142059, 0.000000, 3.945135
1764705203.836208, 672.745850, 389.413086, 1173.635498, 1062.158936, 51.123199, 63.337589, 3, 0.741758, 0.814986, -2.289263, 0.870554, 0.548279, 1.125820, 29.712814, 4.246778, 3.748026, 0.191630, 3.531018
1764705204.933487, 727.993164, 426.854248, 1097.230225, 1154.847412, 54.683144, 63.038040, 3, 0.761197, 0.805977, 3.847611, 0.835209, 0.586746, 1.149937, 28.724136, 4.226735, 3.714127, 0.320556, 3.536261
1764705206.113447, 940.575256, 461.023621, 1179.898193, 1401.598877, 50.851845, 67.107307, 3, 0.544680, 0.781184, -2.509047, 0.642667, 0.734763, 1.077202, 19.998119, 4.166926, 3.788850, 0.303806, 3.463649
1764705207.625344, 850.498108, 567.383850, 1511.822876, 1417.881958, 39.687187, 59.983700, 3, 0.756381, 0.790177, 14.002710, 1.143514, 0.672044, 0.989598, 10.307810, 4.113487, 3.315132, 0.000000, 3.999408
1764705208.933075, 886.528992, 458.705261, 1307.657837, 1345.234253, 45.883564, 65.901459, 3, 0.884977, 0.786361, 10.575588, 1.157247, 0.697131, 1.012059, 11.064592, 3.875533, 3.674806, 0.000000, 3.995168
1764705210.274612, 619.900635, 443.510864, 1341.476685, 1063.411499, 44.726830, 58.293579, 3, 1.120656, 0.825105, 7.740760, 1.503334, 0.511483, 1.036973, 18.510134, 3.187885, 4.057899, 0.000000, 4.182694
1764705211.296751, 288.406219, 405.504242, 1022.077454, 693.910461, 58.703964, 41.562454, 2, 1.752296, 1.204322, 2.060454, 1.790982, 0.347334, 2.040571, 48.381901, 1.420190, 2.135187, 1.228064, 3.341129
1764705212.077123, 247.784317, 484.955078, 780.336121, 732.739380, 76.889946, 33.816158, 2, 2.682712, 1.470196, 0.449885, 2.093417, 0.364291, 2.393211, 85.168022, 1.217565, 2.399312, 1.536387, 3.254179
1764705212.828687, 243.508316, 503.009094, 751.527588, 746.517395, 79.837387, 32.619240, 2, 3.103864, 1.522541, 2.905819, 2.332639, 0.370751, 2.469715, 136.711105, 1.144156, 2.406934, 0.889766, 3.443714
1764705213.580252, 245.646317, 508.386353, 751.527588, 754.032654, 79.837387, 32.577675, 2, 3.296821, 1.524428, 1.734053, 2.477652, 0.374470, 2.472516, 120.629890, 1.430450, 2.273825, 0.966022, 3.443166
1764705214.353110, 237.094315, 525.706116, 772.820801, 762.800415, 77.637665, 31.082090, 2, 3.397691, 1.595678, 0.646655, 2.625806, 0.378326, 2.580506, 101.910713, 1.169591, 2.394435, 0.901928, 3.346252
1764705215.129737, 236.025330, 539.300598, 776.578430, 775.325928, 77.261993, 30.442080, 2, 3.410989, 1.628308, 1.963323, 2.648901, 0.384322, 2.631400, 120.450737, 1.246426, 2.374931, 0.944695, 3.394620
1764705215.881301, 239.232315, 516.052917, 751.527588, 755.285217, 79.837387, 31.674433, 2, 3.494423, 1.566654, 1.493532, 2.626155, 0.374794, 2.535995, 137.373138, 1.178511, 2.448595, 0.789367, 3.494061
1764705216.639128, 234.956345, 517.823730, 757.790222, 752.780090, 79.177582, 31.211817, 2, 3.478776, 1.589227, 3.463186, 2.636182, 0.373399, 2.570551, 147.812439, 1.245792, 2.548095, 1.040241, 3.404359
1764705217.406975, 227.473358, 531.569458, 767.810608, 759.042786, 78.144272, 29.968449, 2, 3.405365, 1.653352, 1.647842, 2.614675, 0.376094, 2.671077, 119.614311, 1.050220, 2.391312, 0.869322, 3.359123
1764705218.163549, 234.956345, 530.349182, 756.537720, 765.305542, 79.308670, 30.700985, 2, 3.571575, 1.614944, 2.347935, 2.702031, 0.379441, 2.610446, 141.376968, 1.039875, 2.512613, 0.922881, 3.271007
1764705218.920125, 233.887360, 521.397827, 756.537720, 755.285217, 79.308670, 30.966759, 2, 3.382636, 1.601458, 1.605714, 2.559091, 0.374561, 2.589455, 131.337128, 0.956126, 2.525959, 0.941364, 3.372311
1764705219.679204, 224.266357, 523.503540, 759.042786, 747.769897, 79.046928, 29.991358, 2, 3.441018, 1.652122, 2.515894, 2.611880, 0.370515, 2.669116, 143.435684, 1.057578, 2.471837, 1.018856, 3.404754
1764705220.438296, 225.335358, 534.959961, 759.042786, 760.295349, 79.046928, 29.637871, 2, 3.534450, 1.671306, 2.165811, 2.682798, 0.376604, 2.699849, 158.074265, 0.914100, 2.580737, 0.928619, 3.356860
1764705221.189860, 227.473358, 526.559326, 751.527588, 754.032654, 79.837387, 30.167574, 2, 3.537077, 1.642727, 2.909102, 2.658211, 0.373677, 2.654179, 153.390244, 0.957002, 2.576148, 1.023979, 3.379938
1764705221.958960, 233.887360, 542.691040, 769.063171, 776.578430, 78.016998, 30.117672, 2, 3.469816, 1.645377, 1.964872, 2.668508, 0.384833, 2.658383, 149.681076, 1.058610, 2.460934, 0.898213, 3.401498
1764705222.729312, 240.301331, 537.529663, 770.315735, 777.830994, 77.890137, 30.893772, 2, 3.395088, 1.605139, 2.818353, 2.615290, 0.385717, 2.595169, 137.217072, 1.330597, 2.417944, 0.900566, 3.431228
1764705223.505927, 232.818344, 534.992249, 776.578430, 767.810608, 77.261993, 30.322367, 2, 3.342738, 1.634564, 1.058529, 2.595898, 0.380556, 2.641261, 122.359535, 1.084517, 2.456741, 0.967456, 3.330117
1764705224.257504, 238.163330, 519.626892, 751.527588, 757.790222, 79.837387, 31.428661, 2, 3.371253, 1.578564, 1.561852, 2.533590, 0.375956, 2.554173, 125.513695, 1.223511, 2.430279, 1.049657, 3.394358
1764705225.017836, 241.370316, 522.682678, 760.295349, 764.052979, 78.916702, 31.590784, 2, 3.512337, 1.570687, 1.136809, 2.670413, 0.379117, 2.542136, 145.664856, 1.060159, 2.506988, 0.973523, 3.399980
1764705225.793199, 242.439331, 534.139099, 775.325928, 776.578430, 77.386810, 31.218910, 2, 3.383447, 1.588876, 1.382162, 2.623274, 0.385206, 2.570010, 143.480972, 1.122625, 2.403261, 0.814038, 3.450134
1764705226.573571, 236.025330, 536.795471, 780.336121, 772.820801, 76.889946, 30.540758, 2, 3.291931, 1.623188, 1.230877, 2.568813, 0.383113, 2.623354, 122.661980, 1.081143, 2.458614, 0.899248, 3.342618
1764705227.328893, 234.956345, 519.076294, 755.285217, 754.032654, 79.440186, 31.159969, 2, 3.446635, 1.591799, 1.494418, 2.603192, 0.374003, 2.574516, 136.835297, 1.130274, 2.476691, 0.943263, 3.438914
1764705228.099245, 234.956345, 535.359375, 770.315735, 770.315735, 77.890137, 30.501303, 2, 3.413281, 1.625231, 2.602143, 2.629304, 0.381858, 2.626562, 140.997482, 1.329715, 2.382208, 0.852903, 3.452171
1764705228.875872, 228.542343, 540.520813, 776.578430, 769.063171, 77.261993, 29.716980, 2, 3.439450, 1.666973, 1.721437, 2.671003, 0.380974, 2.692880, 148.899963, 1.027233, 2.431723, 0.803096, 3.398570
1764705229.649983, 240.301331, 547.550049, 774.073364, 787.851379, 77.512032, 30.500845, 2, 3.392942, 1.625255, 1.332582, 2.626386, 0.390551, 2.626599, 139.321564, 1.260220, 2.376797, 0.901063, 3.391109
1764705230.412820, 241.370316, 522.682678, 762.800415, 764.052979, 78.657532, 31.590784, 2, 3.439784, 1.570687, 2.517849, 2.623869, 0.379117, 2.542136, 134.377045, 1.142430, 2.468675, 0.969704, 3.398475
1764705231.193193, 233.887360, 537.680908, 780.336121, 771.568237, 76.889946, 30.313244, 2, 3.325691, 1.635043, 1.306132, 2.595156, 0.382416, 2.642017, 116.856270, 1.142090, 2.406439, 0.892235, 3.323975
1764705231.959800, 233.887360, 532.670654, 766.558044, 766.558044, 78.271957, 30.511370, 2, 3.379089, 1.624709, 1.705796, 2.590268, 0.379999, 2.625742, 141.297318, 1.043492, 2.433676, 0.884536, 3.376276
1764705232.723889, 239.232315, 531.083435, 764.052979, 770.315735, 78.528587, 31.056398, 2, 3.423716, 1.596962, 2.455026, 2.615900, 0.382045, 2.582491, 122.760674, 1.291143, 2.479433, 1.040937, 3.359904
