,timestamp,position_lat,position_long,distance,accumulated_power,enhanced_speed,enhanced_altitude,140,power,vertical_oscillation,vertical_ratio,step_length,cycle_length16,heart_rate,cadence,activity_type,fractional_cadence,107,135,136,143,stance_time,90,l__is_running__b,l__cadence__steps per min,l__gct__ms,l__fsa__deg,l__total_distance__m,l__stride_count__strides,r__is_running__b,r__cadence__steps per min,r__gct__ms,r__fsa__deg,r__total_distance__m,r__stride_count__strides,l__vgrf_curve_bn_0__,l__vgrf_curve_bn_1__,l__vgrf_curve_bn_2__,l__vgrf_curve_bn_3__,r__vgrf_curve_bn_0__,r__vgrf_curve_bn_1__,r__vgrf_curve_bn_2__,r__vgrf_curve_bn_3__,l__stride_length__m,l__speed__mps,l__vgrf_avg__bw,l__vgrf_active_peak__bw,l__lr__bwps,r__stride_length__m,r__speed__mps,r__vgrf_avg__bw,r__vgrf_active_peak__bw,r__lr__bwps
0,2025-12-19 14:51:20+00:00,542970259,-1465357303,0.0,3500,31.575,59.39999999999998,31575,3500,95.8,3.83,2500.0,0.0,80,60,running,0.5,0,49,80,87,,,0,120,586,-14,1,1,0,0,0,0,0,0,2.817246437072754,3.8985581398010254,0.039690177887678146,4.288194179534912,0.0,0.0,0.0,0.0,1.074,1.076,0.83,1.08,12.0,0.0,0.0,0.0,0.0,0.0
1,2025-12-19 14:51:21+00:00,542970207,-1465357420,0.0,3612,1.549,59.200000000000045,1549,112,59.8,7.73,774.0,,80,60,running,0.5,1,45,80,87,,,0,115,535,-13,3,3,0,0,0,0,0,0,2.945119619369507,3.992156982421875,0.2131635993719101,4.00952672958374,0.0,0.0,0.0,0.0,1.472,1.414,0.84,1.1,20.0,0.0,0.0,0.0,0.0,0.0
2,2025-12-19 14:51:22+00:00,542970035,-1465357312,0.29,3777,2.762,59.0,2762,165,69.6,5.04,1380.0,,79,60,running,0.5,1,42,79,87,,,1,129,287,-19,5,4,0,0,0,0,0,0,2.1014506816864014,1.695767879486084,1.2234562635421753,3.4942030906677246,0.0,0.0,0.0,0.0,1.585,1.697,1.2,2.04,60.0,0.0,0.0,0.0,0.0,0.0
3,2025-12-19 14:51:23+00:00,542969944,-1465357467,0.48,3950,2.762,58.799999999999955,2762,173,69.6,5.04,1380.0,,79,58,running,0.5,1,42,79,87,,,1,193,250,9,8,6,0,0,0,0,0,0,1.552331566810608,2.1783294677734375,0.6232375502586365,3.179039239883423,0.0,0.0,0.0,0.0,1.729,2.783,1.26,2.1,80.0,0.0,0.0,0.0,0.0,0.0
4,2025-12-19 14:51:24+00:00,542970090,-1465357869,0.48,4047,2.286,58.60000000000002,2286,97,65.8,5.66,1162.0,,79,0,running,0.0,1,42,79,87,,,1,193,250,9,10,7,0,0,0,0,0,0,1.552331566810608,2.1783294677734375,0.6232375502586365,3.179039239883423,0.0,0.0,0.0,0.0,1.729,2.783,1.26,2.1,80.0,0.0,0.0,0.0,0.0,0.0
5,2025-12-19 14:51:25+00:00,542970097,-1465357999,0.48,4047,2.286,58.39999999999998,2286,0,,,,,79,0,running,0.0,1,42,79,87,,,1,190,261,11,13,9,0,0,0,0,0,0,1.6809953451156616,2.046221971511841,0.711004376411438,3.2170002460479736,0.0,0.0,0.0,0.0,1.758,2.777,1.23,2.08,72.0,0.0,0.0,0.0,0.0,0.0
6,2025-12-19 14:51:26+00:00,542970033,-1465358112,0.48,4047,1.353,58.39999999999998,1353,0,,,,517.42,79,0,running,0.0,1,42,79,87,,,1,189,259,14,15,10,0,0,0,0,0,0,1.6397864818572998,2.185784101486206,0.8805290460586548,3.15375018119812,0.0,0.0,0.0,0.0,1.836,2.889,1.22,2.06,78.0,0.0,0.0,0.0,0.0,0.0
7,2025-12-19 14:51:27+00:00,542970266,-1465358178,0.48,4047,1.708,58.39999999999998,1708,0,,,,0.0,79,0,running,0.0,1,42,79,87,,,1,183,259,14,19,12,0,0,0,0,0,0,1.4428046941757202,2.5022764205932617,0.8766175508499146,3.0813212394714355,0.0,0.0,0.0,0.0,1.922,2.931,1.28,2.14,96.0,0.0,0.0,0.0,0.0,0.0
8,2025-12-19 14:51:28+00:00,542970272,-1465358354,0.48,4133,1.353,58.200000000000045,1353,86,50.0,11.59,431.0,0.0,79,94,running,0.0,1,42,79,87,270.0,,1,183,249,13,21,13,0,0,0,0,0,0,1.5471892356872559,2.283045530319214,0.8644719123840332,3.1527419090270996,0.0,0.0,0.0,0.0,1.934,2.954,1.28,2.14,90.0,0.0,0.0,0.0,0.0,0.0
9,2025-12-19 14:51:29+00:00,542970199,-1465358252,1.34,4226,1.484,58.200000000000045,1484,93,52.5,11.1,473.0,517.42,79,94,running,0.0,1,42,79,87,267.0,,1,182,258,15,25,15,0,0,0,0,0,0,1.4598639011383057,2.4080898761749268,0.6119263172149658,3.1400632858276367,0.0,0.0,0.0,0.0,1.924,2.911,1.3,2.16,88.0,0.0,0.0,0.0,0.0,0.0
10,2025-12-19 14:51:30+00:00,542970381,-1465358513,1.34,4300,1.129,58.0,1129,74,45.7,,,517.42,79,94,running,0.0,1,42,79,87,275.0,,1,182,258,15,27,16,0,0,0,0,0,0,1.4598639011383057,2.4080898761749268,0.6119263172149658,3.1400632858276367,0.0,0.0,0.0,0.0,1.924,2.911,1.3,2.16,88.0,0.0,0.0,0.0,0.0,0.0
11,2025-12-19 14:51:31+00:00,542970262,-1465358481,2.01,4373,1.101,58.0,1101,73,45.3,,,517.42,80,94,running,0.0,1,38,80,87,275.0,,1,183,250,15,29,17,0,0,0,0,0,0,1.5528639554977417,2.272836446762085,0.33522069454193115,3.104715585708618,0.0,0.0,0.0,0.0,2.011,3.06,1.27,2.12,116.0,0.0,0.0,0.0,0.0,0.0
12,2025-12-19 14:51:32+00:00,542970090,-1465358482,5.36,4446,1.101,58.0,1101,73,45.3,,,517.42,79,94,running,0.0,1,36,79,87,275.0,,1,177,254,15,33,19,0,0,0,0,0,0,1.4347074031829834,2.439974069595337,0.8050209283828735,3.115264654159546,0.0,0.0,0.0,0.0,1.953,2.883,1.31,2.16,98.0,0.0,0.0,0.0,0.0,0.0
13,2025-12-19 14:51:33+00:00,542970266,-1465358446,5.36,4519,1.138,57.799999999999955,1106,73,46.1,,,517.42,79,94,running,0.0,1,36,79,87,274.0,,1,182,254,15,36,21,0,0,0,0,0,0,1.4681341648101807,2.4004173278808594,0.7663658261299133,3.126047372817993,0.0,0.0,0.0,0.0,1.961,2.969,1.31,2.16,96.0,0.0,0.0,0.0,0.0,0.0
14,2025-12-19 14:51:34+00:00,542970374,-1465358787,6.37,4632,1.838,57.799999999999955,1785,113,59.0,10.05,586.0,517.42,79,94,running,0.0,1,36,79,87,260.0,,1,182,249,15,38,22,0,0,0,0,0,0,1.5769308805465698,2.3719723224639893,0.9883769154548645,3.1451690196990967,0.0,0.0,0.0,0.0,1.959,2.977,1.3,2.16,94.0,0.0,0.0,0.0,0.0,0.0
15,2025-12-19 14:51:35+00:00,542970526,-1465358763,6.37,4765,2.174,57.799999999999955,2111,133,65.1,9.39,693.0,517.42,80,94,running,0.0,1,36,80,87,252.0,,1,185,242,11,44,25,0,0,0,0,0,0,1.424536108970642,2.3979921340942383,0.6913942098617554,3.1098272800445557,0.0,0.0,0.0,0.0,1.892,2.911,1.31,2.16,92.0,0.0,0.0,0.0,0.0,0.0
16,2025-12-19 14:51:36+00:00,542970811,-1465358841,6.37,4899,2.174,57.799999999999955,2111,134,65.1,9.39,693.0,517.42,81,94,running,0.0,1,35,81,87,252.0,,1,185,242,11,44,25,0,0,0,0,0,0,1.424536108970642,2.3979921340942383,0.6913942098617554,3.1098272800445557,0.0,0.0,0.0,0.0,1.892,2.911,1.31,2.16,92.0,0.0,0.0,0.0,0.0,0.0
17,2025-12-19 14:51:37+00:00,542970786,-1465359076,6.37,5036,2.174,57.799999999999955,2111,137,65.1,9.39,693.0,517.42,82,94,running,0.0,1,35,82,87,252.0,,1,176,248,14,48,27,0,0,0,0,0,0,1.7297699451446533,2.3040144443511963,0.5717360973358154,2.9674923419952393,0.0,0.0,0.0,0.0,2.017,2.961,1.32,2.18,82.0,0.0,0.0,0.0,0.0,0.0
18,2025-12-19 14:51:38+00:00,542970631,-1465359087,7.66,5111,1.185,57.799999999999955,1151,75,46.8,,,0.0,83,94,running,0.0,1,35,83,87,274.0,,1,186,255,15,50,28,0,0,0,0,0,0,1.682878851890564,2.1662704944610596,0.7359769344329834,3.1441125869750977,0.0,0.0,0.0,0.0,1.952,3.02,1.28,2.12,84.0,0.0,0.0,0.0,0.0,0.0
19,2025-12-19 14:51:39+00:00,542970589,-1465358919,8.48,5186,1.185,57.799999999999955,1147,75,46.8,,,517.42,85,94,running,0.0,1,36,85,87,274.0,,1,186,255,15,52,29,0,0,0,0,0,0,1.682878851890564,2.1662704944610596,0.7359769344329834,3.1441125869750977,0.0,0.0,0.0,0.0,1.952,3.02,1.28,2.12,84.0,0.0,0.0,0.0,0.0,0.0
